Dataset,Class,Frequency,Percentage
CICIDS2017,BENIGN,2273097,80.30036637024273
CICIDS2017,DoS Hulk,231073,8.162980531966342
CICIDS2017,PortScan,158930,5.614427024989553
CICIDS2017,DDoS,128027,4.522734843820156
CICIDS2017,DoS GoldenEye,10293,0.3636147824087174
CICIDS2017,FTP-Patator,7938,0.28042107672791206
CICIDS2017,SSH-Patator,5897,0.20831986513788078
CICIDS2017,DoS slowloris,5796,0.20475189729339613
CICIDS2017,DoS Slowhttptest,5499,0.19425995224575313
CICIDS2017,Bot,1966,0.0694517305173942
CICIDS2017,Web Attack  Brute Force,1507,0.053236906352855065
CICIDS2017,Web Attack  XSS,652,0.023032822124791973
CICIDS2017,Infiltration,36,0.0012717509148658145
CICIDS2017,Web Attack  Sql Injection,21,0.0007418547003383918
CICIDS2017,Heartbleed,11,0.00038859055732010995
CSE-CIC-IDS2018,Benign,13484708,83.07001386008686
CSE-CIC-IDS2018,DDOS attack-HOIC,686012,4.226048227976899
CSE-CIC-IDS2018,DDoS attacks-LOIC-HTTP,576191,3.54951656024419
CSE-CIC-IDS2018,DoS attacks-Hulk,461912,2.845522219846395
CSE-CIC-IDS2018,Bot,286191,1.7630259651623243
CSE-CIC-IDS2018,FTP-BruteForce,193360,1.1911580050518258
CSE-CIC-IDS2018,SSH-Bruteforce,187589,1.1556068422096966
CSE-CIC-IDS2018,Infilteration,161934,0.9975640276689198
CSE-CIC-IDS2018,DoS attacks-SlowHTTPTest,139890,0.8617661011931108
CSE-CIC-IDS2018,DoS attacks-GoldenEye,41508,0.25570224696778643
CSE-CIC-IDS2018,DoS attacks-Slowloris,10990,0.06770183324120586
CSE-CIC-IDS2018,DDOS attack-LOIC-UDP,1730,0.010657340446522851
CSE-CIC-IDS2018,Brute Force -Web,611,0.003763950874465585
CSE-CIC-IDS2018,Brute Force -XSS,230,0.0014168718512718242
CSE-CIC-IDS2018,SQL Injection,87,0.0005359471785245597
Lycos-Unicas-IDS2018,Benign,10000000,73.03925392447215
Lycos-Unicas-IDS2018,DoS Hulk,1802966,13.168729149118985
Lycos-Unicas-IDS2018,DDoS HOIC,1074379,7.847184059212046
Lycos-Unicas-IDS2018,DDoS LOIC-HTTP,289328,2.113230125945968
Lycos-Unicas-IDS2018,FTP-Patator,190300,1.389937002182705
Lycos-Unicas-IDS2018,DoS Slowhttptest,105550,0.7709293251728035
Lycos-Unicas-IDS2018,Bot,96154,0.7023016421853695
Lycos-Unicas-IDS2018,SSH-Patator,92648,0.6766940797594495
Lycos-Unicas-IDS2018,DoS GoldenEye,26861,0.19619073996652464
Lycos-Unicas-IDS2018,DoS Slowloris,10274,0.07504052948200268
Lycos-Unicas-IDS2018,DDoS LOIC-UDP,2382,0.017397950284809265
Lycos-Unicas-IDS2018,Web Attack - Brute Force,260,0.001899020602036276
Lycos-Unicas-IDS2018,Web Attack - XSS,116,0.000847255345523877
Lycos-Unicas-IDS2018,Web Attack - Sql Injection,50,0.00036519626962236077
