,Source Port,Destination Port,Protocol,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
Source Port,1.0,-0.5348518442457046,0.46619893733498624,0.14014613697268707,0.004336629858542534,0.004127914055734165,0.0006138750332919356,0.0032036123534983007,-0.019313779173606563,0.08616487670483432,-0.03472283629352003,-0.0449091451823254,0.16951807835862825,0.3157204397822295,0.2006466256910367,0.14886942031657355,-0.02000673636083676,-0.12490269337872832,0.10867020379366925,0.12584488852588463,0.12497585633263983,0.025471015476885357,0.13949118445794909,0.10620445249475655,0.10522690341361535,0.12417828530237948,0.060503799430355075,0.09476418397361867,0.07721442949762686,0.04299743298623492,0.06520324892667607,0.05969522919652937,-0.12698952875832742,0.0,0.004010992400032872,0.0,0.0010781339758245505,0.0009930943806931295,-0.1199237941756157,-0.05517728393961564,0.29815812931710284,0.13134750529782727,0.1639370011846155,0.12794957882679175,0.06857740318535178,0.05154435729236703,-0.12698952875832742,0.011662285093911103,0.2324468760432716,-0.3048909024142295,-0.32174977990263526,0.004010992400032872,0.011583800922111092,0.12582088950689652,0.17020345934803485,-0.03472283629352003,0.20064662569103514,0.0010781339758245505,0.0,0.0,0.0,0.0,0.0,0.0,0.004336629858542534,0.0006141314067287318,0.004127914055734165,0.0032035739486169757,0.17057183169661647,-0.11663225083642867,0.0031652225950424863,0.0013542284220150844,0.02424225528610703,0.021861546996991027,0.029247743706224138,0.02136292701563116,0.11624661802000878,0.028946608812963,0.11691489222006965,0.11312756703517465
Destination Port,-0.5348518442457046,0.9999999999999998,-0.20979092351157952,-0.13137766034349965,-0.0036926950363562116,-0.003489699979507786,0.013268759841775366,-0.002765211103065504,0.10835299563580744,-0.032286291584286274,0.15095194688894423,0.13725400765372792,-0.1702034743813626,-0.21682896037280172,-0.1911877843702364,-0.15265878368897579,0.06682060837617043,0.2408196773095598,-0.08763245977229926,-0.09965014332737519,-0.0977326151077525,-0.019443534030558544,-0.13129532482264233,-0.08310515773920665,-0.08155261718191023,-0.09707326262029928,-0.04540864300987236,-0.08958655627891149,-0.05836285258505561,-0.022662386904672375,-0.039206086956683706,-0.04487269184361979,0.23120876812894228,0.0,0.0017767257939546527,0.0,0.0003526125040366698,0.0006235675467593735,0.2259919931796971,0.14097571829326377,-0.2105063662117528,-0.10249373018320802,-0.12336021387111767,-0.09878835749877096,-0.05282909473573854,-0.031701636601610385,0.23120876812894228,-0.0057798370269921,-0.14856423539476857,0.5397084558829096,0.5107718668504477,0.0017767257939546527,-0.0056902439792752444,0.0744113878200201,-0.12384198516650766,0.15095194688894423,-0.19118778437023623,0.0003526125040366698,0.0,0.0,0.0,0.0,0.0,0.0,-0.0036926950363562116,0.013287120276267453,-0.003489699979507786,-0.0027651900327236114,-0.0909961429030674,0.21712761035383873,-0.0028526948411114047,0.0007863172211244357,-0.03013381788202122,-0.039075657338442905,-0.045306103032800055,-0.018889685065880818,-0.09678467531227583,0.014729164630417261,-0.09223450509721197,-0.09934547669941461
Protocol,0.46619893733498624,-0.20979092351157952,1.0,-0.1626281714449924,-0.004430648053659627,-0.003951354393880439,-0.020564089302360613,-0.0034304451203950865,-0.10014858716121293,0.3191165872011105,0.0017209862753494328,-0.1179916638510239,-0.17928809089410924,0.7375369724023745,-0.12570363849496183,-0.19238930754567568,-0.004911825597549507,-0.10349964144960651,-0.022775292097913975,-0.06299202360865609,-0.1132964505223364,-0.021905239856089328,-0.15969385083946536,0.023884539923012635,-0.14910593205004344,-0.11129800675196494,0.10594740192548127,-0.1086772757855123,0.06949484665798168,-0.09092912808647802,-0.036505096552771336,0.1121275941391777,-0.10779030149810903,0.0,-0.005163917245607755,0.0,-0.0016551872558224555,-0.0023614029711008754,-0.10216501020983422,-0.02838424646777797,0.7779157312779008,-0.19039872237557282,-0.12438754672614204,-0.18627507229393694,-0.14260032850928148,-0.09358708236844124,-0.10779030149810903,-0.007620998662725626,-0.3128938744865968,-0.32570846940013204,-0.15766972595876802,-0.005163917245607755,-0.007637648148575495,0.37423094111269734,-0.10122639848348117,0.0017209862753494328,-0.12570363849496544,-0.0016551872558224555,0.0,0.0,0.0,0.0,0.0,0.0,-0.004430648053659627,-0.020591423815807496,-0.003951354393880439,-0.0034304182015091863,-0.2360845947426532,-0.11493382567762372,-0.003095119734425828,-0.0033780634260518207,-0.055320879620777856,-0.05455042594975144,-0.07235781689603091,-0.040024315886119,-0.10234709460037451,-0.04537968298341019,-0.1057665795581571,-0.09643069375974248
Flow Duration,0.14014613697268707,-0.13137766034349965,-0.1626281714449924,0.9999999999999999,0.021175937744957782,0.01991599812218701,0.06708466185268565,0.01633141022528222,0.2814731789937929,-0.09140167098165854,0.15432755455818126,0.24157474583054314,0.5066121050586009,-0.18702836077804583,0.47264811077320196,0.4544015362891169,-0.022691594868814172,-0.10960392138481145,0.5411236185144307,0.7431565913513619,0.7873679852235971,0.06667179502393492,0.9985818949176621,0.5527767404789988,0.7288818269816438,0.7869034931537738,0.21696419387466787,0.824654276710575,0.41732028620492756,0.5259604913764043,0.5891438907923673,0.2189384933603,-0.0018640224256158385,0.0,-0.0041689568892955805,0.0,-0.00021049881641273767,-0.001173653765074446,-0.10164542021691533,-0.07233761401314996,-0.19500534088751886,0.5224958594998941,0.44441427645255693,0.4684844141446773,0.2911981205585722,0.19203063178306287,-0.0018640224256158385,0.009358165860557419,0.18796684685637846,0.053917953574325904,-0.08744168913302737,-0.0041689568892955805,0.009310964469391182,-0.10115266706928787,0.4232000428361106,0.15432755455818126,0.4726481107732073,-0.00021049881641273767,0.0,0.0,0.0,0.0,0.0,0.0,0.021175937744957782,0.0671723339315632,0.01991599812218701,0.016330976731229584,0.11625060772129345,-0.011671433574185897,0.016144409281746874,-0.001447110102405314,0.1925564706212387,0.24302594559018428,0.2971531404055486,0.12411433769059896,0.7710409733404531,0.24528573175156,0.7824400631770069,0.7415485634856461
Total Fwd Packets,0.004336629858542534,-0.0036926950363562116,-0.004430648053659627,0.021175937744957782,1.0,0.9990697653006515,0.3655174949359334,0.9969915078899213,0.009654675720531924,-0.0026187465544088295,0.00039148964746638516,0.0016815271857018718,0.02312317536295106,-0.004824889840334992,0.021731528847167985,0.006884181522711849,0.0004531419246741301,-0.002289392026601978,-0.0006779123968008623,-8.410981022772339e-05,0.0027150882514687075,-0.0004766142440798408,0.020847957141302786,-0.0007090165628583165,0.00047172647907310194,0.0022627550600593767,-0.0010142811307860748,0.02430579293990667,-0.0003974377022379016,0.0010334452686315185,0.003716831246198103,-0.0008663019721411594,0.002177148096684515,0.0,-9.171049330357696e-05,0.0,0.0004734108892555701,0.013746398323510689,-0.002125686455102294,-0.0014980960650713795,-0.005412677687894135,0.022328503963886023,0.02474331595068895,0.012472147238753813,0.005790262641099586,-0.0011499400075766632,0.002177148096684515,0.000375522472031373,0.007203793582967693,0.0019664524973041922,-0.003090665660930952,-9.171049330357696e-05,0.0003740552105151621,0.002114384171731353,0.022424301882574663,0.00039148964746638516,0.02173152884716933,0.0004734108892555701,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3659992621644017,0.9990697653006515,0.9969853645662675,0.004264087592302907,-9.925756553424383e-05,0.8873870416292211,-0.00018737563261933174,0.040052416929564176,0.008445241535197228,0.030599271169586537,0.041379866140993836,0.0022139668204263665,0.0009350552051250389,0.0023047968076462724,0.002051093568991373
Total Backward Packets,0.004127914055734165,-0.003489699979507786,-0.003951354393880439,0.01991599812218701,0.9990697653006515,1.0,0.3594517175104993,0.9944288293993129,0.009281702283305635,-0.002290420305504873,-3.178143848759134e-05,0.0012587521847048238,0.022814573138597267,-0.004214914492807715,0.021737292385707294,0.006472194096337416,0.0003468822571839032,-0.0024815227396998473,-0.0010842971919228187,-0.0006340298682411446,0.0021774282611845097,-0.0005166121305675943,0.019570673268699348,-0.0009523664030365718,-0.0001285636003147397,0.0017122330088680947,-0.0009135772277781894,0.02365690945864126,-0.0006006076192712217,0.0007758673713753692,0.003733507459228036,-0.0008491909463020189,0.0019197906024163698,0.0,-9.92596255229497e-05,0.0,0.0007545986845104457,0.013762616520814197,-0.0023657356258287355,-0.001218299537245269,-0.004971287665494449,0.021959465972313283,0.025017209537208655,0.012222268062043379,0.00569112573549727,-0.0010751992264482924,0.0019197906024163698,0.00024703648241174473,0.00660639115082398,0.0016243013187921711,-0.0025205491927187563,-9.92596255229497e-05,0.0002460600736486973,0.004238796132400825,0.02270516408385534,-3.178143848759134e-05,0.02173729238570921,0.0007545986845104457,0.0,0.0,0.0,0.0,0.0,0.0,0.9990697653006515,0.35993342400928335,1.0,0.9944236515930832,0.003655952007011955,-0.00015633490780655676,0.8825670989029304,1.5727147141208652e-05,0.03905514161000355,0.006534175550934739,0.028716072153461246,0.041355521273598976,0.001754601113475495,0.0005970974550771018,0.001789513823070233,0.0016477366929792433
Total Length of Fwd Packets,0.0006138750332919356,0.013268759841775366,-0.020564089302360613,0.06708466185268565,0.3655174949359334,0.3594517175104993,1.0,0.35374777230683785,0.19770900299571062,0.0012960050332458605,0.185986738331695,0.16056527668606096,0.02528237514967896,-0.021942465400046622,0.021491125126810482,0.01205906846887576,0.0031473295965316183,-0.012137320687907594,0.005795237540843463,0.016591944862772084,0.0286871660046531,-0.0025149274642381697,0.06624198948095897,0.007271658768965379,0.02478591604613133,0.02870056534205628,-0.004820460216172434,0.07895559117969325,0.008764662418646568,0.03749568954001333,0.04312781762948637,-0.00379682494800107,0.010073992287442882,0.0,-0.0005261304264376827,0.0,-0.0013510659929075969,0.0050025944769891955,-0.01118177642820647,-0.008504507767245824,-0.021595253602428064,0.0782736102900299,0.08489144901003672,0.061230246531443225,0.03685611048448405,-0.0052869871934560905,0.010073992287442882,0.004637870818061555,0.04419803144612681,-0.0005388067278007451,-0.002251202799375873,-0.0005261304264376827,0.0046273992839697565,-0.0048043820866690585,0.07970485423299353,0.185986738331695,0.02149112512682448,-0.0013510659929075969,0.0,0.0,0.0,0.0,0.0,0.0,0.3655174949359334,0.9999993579857875,0.3594517175104993,0.3537543804591134,0.032412436152441354,0.012597038366832907,0.40743250161885747,-0.0012213262562964255,0.10163526726651152,0.10379049702062759,0.12710315964030985,0.06879616716531026,0.024307356370677196,0.027601804916289656,0.027726560332383687,0.020248106322682813
Total Length of Bwd Packets,0.0032036123534983007,-0.002765211103065504,-0.0034304451203950865,0.01633141022528222,0.9969915078899213,0.9944288293993129,0.35374777230683785,1.0,0.006777445501186706,-0.00196880429075904,-0.0012327447986788392,-0.00030746200256669034,0.022045731122273864,-0.003472251577933801,0.020760050701908696,0.006280120067242146,0.0005275701451581459,-0.0017280270276143206,-0.0011768691096766754,-0.0009088427306391198,0.0013893969861222906,-0.00035649039326356646,0.016021868293843316,-0.001095112118485689,-0.0004919806414921923,0.0009346097424678759,-0.0007611830486588293,0.01924324869975425,-0.0009878318008294956,-0.0002893928765501275,0.002135532299612357,-0.0007439175239394709,0.0018034063929731204,0.0,-6.836999137525868e-05,0.0,0.0007494271840707156,0.013688816712144418,-0.00163609154155629,-0.0009230481658938071,-0.004069252998564897,0.02093918431692558,0.023382541036202537,0.011476334155012384,0.006131767946956479,-0.0007383118068336055,0.0018034063929731204,0.0001437193013933945,0.003925773868715986,0.0025378300665348757,-0.00208592857532044,-6.836999137525868e-05,0.00014296695523849574,0.0035197212583271964,0.02127570418639166,-0.0012327447986788392,0.020760050701909755,0.0007494271840707156,0.0,0.0,0.0,0.0,0.0,0.0,0.9969915078899213,0.3542268177579062,0.9944288293993129,0.999999860135099,0.0016317206815251218,-0.0003967224595350134,0.8839675087778142,1.6325581227934557e-05,0.03601225250416714,0.003560026831563783,0.02491023012002749,0.03911712381134271,0.0010354524572809406,0.00017733296152202586,0.0010271622806335768,0.001007588197692089
Fwd Packet Length Max,-0.019313779173606563,0.10835299563580744,-0.10014858716121293,0.2814731789937929,0.009654675720531924,0.009281702283305635,0.19770900299571062,0.006777445501186706,0.9999999999999999,0.01423849781518007,0.8884160181630706,0.9685323833729536,0.10813993649991814,-0.10961299044774638,0.09075067205787407,0.08786373235991014,0.04025221615146777,-0.059342548863732615,0.07842915335297039,0.1654109245789585,0.20939983188855998,-0.012703835621977787,0.27751511383316235,0.09305810189752212,0.23170367265107994,0.21309363872436993,-0.022537133597042625,0.3054647011140562,0.07294108084215158,0.2750941472638647,0.26461200913162086,-0.0210930983153334,0.015218940847562956,0.0,-0.0027604718774927837,0.0,0.00018285984127340308,0.0005007885878234998,-0.054413038779546154,-0.04328311443772361,-0.11195997701775079,0.3953216320903179,0.35001082857825405,0.3594725817248065,0.26620761417796696,-0.002696885713910315,0.015218940847562956,0.01852274406653717,0.2221418570963667,-0.009829204579243914,0.034892348411006566,-0.0027604718774927837,0.018506377719590475,-0.014111730489028113,0.3420139128889021,0.8884160181630706,0.09075067205789128,0.00018285984127340308,0.0,0.0,0.0,0.0,0.0,0.0,0.009654675720531924,0.19797490864983516,0.009281702283305635,0.006777643396953502,0.16523683548766543,0.029948603882599484,0.00775637857276826,0.00044470032177571726,0.12680622392498414,0.09344485247116499,0.1461122084886226,0.10787815297880131,0.18874712608143962,0.18022532232701408,0.2070936471828603,0.16453949436413567
Fwd Packet Length Min,0.08616487670483432,-0.032286291584286274,0.3191165872011105,-0.09140167098165854,-0.0026187465544088295,-0.002290420305504873,0.0012960050332458605,-0.00196880429075904,0.01423849781518007,1.0,0.269458227219019,-0.06492295388917296,-0.10670782027449922,0.3023976907585934,-0.0852725030502528,-0.10986320030125826,0.059364215235857186,-0.045754239921910946,-0.009831917332487982,-0.04108520735489322,-0.06408594046305222,0.0037889722932730446,-0.09528674464380935,-0.0029070090260708394,-0.08716782658852529,-0.07061235147493757,0.0434963168618542,-0.06325533084421348,0.021125838069655924,-0.04210204177375649,-0.023466374707485436,0.04108119905390608,0.10104939079777442,0.0,-0.002955957933975829,0.0,-0.0007143556292110629,-0.0006957058675481758,-0.04678384824291703,-0.0020069761810904037,0.4474375793727166,-0.0872159728424431,-0.018561854634191133,-0.07378776538059358,-0.07093729090008727,-0.04584994442754163,0.10104939079777442,-0.004362454003511376,-0.17556945807932833,-0.08771802132829122,0.02134588105309634,-0.002955957933975829,-0.0038757788349851165,0.2972994422975541,0.0017943463949522923,0.269458227219019,-0.08527250305025437,-0.0007143556292110629,0.0,0.0,0.0,0.0,0.0,0.0,-0.0026187465544088295,0.0012980542701602842,-0.002290420305504873,-0.0019687893644006506,-0.12561694699141743,-0.05763843510221296,-0.0018339332116090617,-0.001245802835365274,-0.029682555605724983,-0.027627586203634827,-0.03764844033083855,-0.022900652477051062,-0.06058919984573175,-0.02667700963014687,-0.06253274290422885,-0.057149978577219686
