,Dst Port,Protocol,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
Dst Port,1.0,-0.2611756491085728,-0.004975806335346639,-0.006525980353650489,-0.01422018537330575,-0.006092315415276402,-0.0091042630198688,0.103993494951489,-0.20532749022214924,0.04855943613550086,0.193571358073862,-0.21167777578436592,-0.24481235524789965,-0.19993857863646897,-0.14731754523102775,0.09226118255266035,0.1673044453789465,0.0041240628613452585,-0.0014083057217439165,-0.0004585695070744583,0.0018091540045900667,-0.0047328620791922925,0.0036031087902998024,-0.0014860503676519738,-0.00032974413389592514,0.0017576957340246725,-0.12888348457938686,-0.08015343698447791,-0.10577981645026327,-0.10831990055623592,-0.0333898972307582,0.11698640433123751,0.0,0.0,0.0,-0.007297253033174049,-0.014537212596596395,0.2136844826626467,-0.021312131608123345,-0.22826273012966883,-0.09514051570852075,-0.13490039727003544,-0.07227255064650004,-0.028014464551650745,0.09701509037109589,0.11698640433123751,0.008857392211386518,-0.16948569774176628,0.438932637313407,0.3651626254063799,0.0,0.008862037583423311,-0.13262092389156158,-0.15291538398312265,0.04855943613550086,-0.19993857863646775,0.0,0.0,0.0,0.0,0.0,0.0,-0.006525980353650489,-0.006092315415276402,-0.01422018537330575,-0.009104619476550613,0.22878484970714041,0.002655618724320458,-0.006162050821908681,0.21146522103605303,-0.027644747500655216,-0.02625996940840988,-0.03329844210467492,-0.020269004040901123,0.0009191512185766431,-0.0006880462012669674,0.00010445223887871657,0.0060381350649762
Protocol,-0.2611756491085728,1.0,-0.014486603895814729,0.01891224550950106,-0.01762071604486293,0.016814109337153254,-0.011332315006218726,-0.2901278152806552,0.7708461613001536,-0.05666903964716132,-0.34571271537726916,-0.2863078960841927,0.8433342998606714,-0.03879021295929478,-0.36699415690024334,-0.01343032485857983,-0.10126543934762818,-0.010170290944703718,-0.003060241009046799,-0.007097458443481889,-0.0012989620678291406,-0.014181124859686855,-0.010836939607565661,-0.0032904325635495593,-0.0069452303754349584,-0.0013250117841704355,-0.16226181088151592,-0.09736126527872083,-0.13970137188708928,-0.13926557269912415,-0.035738521523661665,-0.12155837832451366,0.0,0.0,0.0,0.015888126529873654,-0.021363910692561047,-0.09056470511417099,-0.07946926689182923,0.8304280758066528,-0.31307072620251625,-0.07167409709987221,-0.30001147400503064,-0.1253858426344046,-0.0394288963560605,-0.12155837832451366,-0.27595774097297465,-0.46421448114267766,-0.38491078767619374,-0.11775599962994987,0.0,-0.2759582830375937,0.2850298966654287,0.020046050333299207,-0.05666903964716132,-0.03879021295929507,0.0,0.0,0.0,0.0,0.0,0.0,0.01891224550950106,0.016814109337153254,-0.01762071604486293,-0.011332747781882932,-0.31498713537430933,-0.24478286291039786,0.020042544164576643,-0.7198741609771652,-0.08652578177253692,-0.07664902835573652,-0.09605687003503713,-0.06486088071259495,-0.013433567950703383,-0.0019730982659445784,-0.006599389772523708,-0.048918129667789946
Flow Duration,-0.004975806335346639,-0.014486603895814729,1.0,0.0027034478456891475,0.0037137226629473745,0.0027651936727913825,0.00284205037456899,0.009222861242268888,-0.009490028942308331,-0.00010144417974693031,0.0055634311169755505,0.017423812740505164,-0.010665530243455516,0.01509218587211081,0.015417496826974618,-0.0016472570390604114,-0.004412960082719552,0.5429497271542312,-0.7152667224077788,-0.497874233548088,0.8145053396958304,0.9999870913275407,0.5431325367921888,-0.7151874267932874,-0.4978843853362526,0.8145179747588064,0.048829630826793084,0.024642736997269217,0.0365064757296503,0.03702893744293172,0.008185159497473747,0.0012294407301607076,0.0,0.0,0.0,0.0030301800447740065,0.0039205699646046675,-0.00388328222965592,-0.0036140633768601362,-0.01009666823200705,0.016562436948515568,0.014930914156287164,0.016176566109538264,0.008336091425785796,-0.0016099460159039753,0.0012294407301607076,0.004232775021340167,0.008812357101293805,0.00037094150693000547,-0.004457607795408696,0.0,0.004232649042537282,-0.0025362553521653917,0.01270465715668777,-0.00010144417974693031,0.015092185872110912,0.0,0.0,0.0,0.0,0.0,0.0,0.0027034478456891475,0.0027651936727913825,0.0037137226629473745,0.002842173569656904,0.006271277248199147,-0.005773350886322277,0.0026064977544204126,0.0031702214642455695,0.010266605427145126,0.010323523816259872,0.012681229709131143,0.007252914377632032,-0.6654503770101208,-0.6680210492746914,-0.6836670246403668,-0.1541801988876678
Tot Fwd Pkts,-0.006525980353650489,0.01891224550950106,0.0027034478456891475,1.0,0.031777536989919135,0.9841821573559221,0.03175754540046313,-0.004193739553043177,0.00976576588209314,-0.0025513814608507782,-0.005990287928418193,-0.005233469948838105,-0.007652459520524341,-0.0023149601893983542,-0.0057970078348657085,-0.0008462467377158041,-0.0027805763749796635,-0.00021230104837839398,2.8651886029189783e-05,-3.6171843273694002e-06,-0.00010948820333834442,0.0027029203626825946,-0.00022253808647629142,2.941488998521119e-05,-7.5363061066782736e-06,-0.00011107659865914459,0.0004328330488400736,-0.0017397727179589485,-0.001604099097198592,-0.0003190241336784057,-0.0010032516791637046,-0.0020670177506886015,0.0,0.0,0.0,0.9956687676723001,0.03173367789429632,-0.002407893062369721,-0.0023699551937559913,0.010538235544540933,-0.005046044754092864,0.0014396210520717181,-0.00515688664428898,-0.0005060577616751251,-0.0010349240075802153,-0.0020670177506886015,-0.005020966039669399,-0.008053549347764272,-0.009372319210542998,-0.00316698516087522,0.0,-0.005020992531139652,-0.005333562771141745,-0.0001437345166862614,-0.0025513814608507782,-0.0023149601893982393,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9841821573559221,0.031777536989919135,0.03175647463304353,-0.006712953096310384,-0.004402318223736595,0.9992245767612085,-0.015494813868955444,0.001583356597658923,0.001305719390206089,0.001811019335726526,0.001243013235427668,-8.521949075703219e-05,6.479641762944499e-05,5.538115198195897e-06,-0.0005833807631672518
Tot Bwd Pkts,-0.01422018537330575,-0.01762071604486293,0.0037137226629473745,0.031777536989919135,1.0,0.005757399352390547,0.9972958583571203,0.03854922003221931,-0.01493010556322543,0.008783318656968856,0.01767085936312066,0.063032442262036,-0.009893587166074589,0.15299711875500221,0.02623003539880808,-0.0007556385507036085,-0.006685791804688136,-0.0004816202323354789,8.189115463458195e-05,0.0007069219634993855,-0.00012363353458949133,0.0033390102896232892,-0.00040694106612181594,0.00015792870015584446,0.00045691450903427014,-0.00012571189858229397,0.07588466374339622,0.004151393036760119,0.017693711746607683,0.05502382513123359,-0.0016526760425176201,0.01726250726829165,0.0,0.0,0.0,0.09255036342612855,0.9997045651888623,-0.006080376334177639,-0.00500597140685643,-0.015882938948143053,0.0617741979756998,0.18350741517477837,0.07303071736697489,0.044594113318396376,-0.002481388738887209,0.01726250726829165,0.009461110336115155,0.029217403471916717,-0.01159914975222838,-0.006853607830986272,0.0,0.009461044754306083,0.12742335992551804,0.1739327112845185,0.008783318656968856,0.15299711875500302,0.0,0.0,0.0,0.0,0.0,0.0,0.031777536989919135,0.005757399352390547,1.0,0.9972967073372955,0.0009852072355571782,0.003446675316511964,-6.61201115652427e-05,0.012056593475503197,0.026589597773383912,0.015617561894656776,0.030854256658073974,0.02463988644329521,0.001559167877279019,0.0003090910995246914,0.0007152022076695887,0.005832836955750706
TotLen Fwd Pkts,-0.006092315415276402,0.016814109337153254,0.0027651936727913825,0.9841821573559221,0.005757399352390547,0.9999999999999998,0.0025850702191362014,0.028065043222854497,0.010103512101100139,0.034470439323178385,0.014843120136473478,0.0005067276180682177,-0.00951890061948414,-0.0014509776857892518,-0.00032195596546201623,0.0002469428682499665,-0.003595562588187207,-0.0002705903195030285,-2.4843908481045447e-05,-8.255382549451882e-05,-6.178559301719156e-05,0.00277397629514275,-0.00027255959945924035,-1.7067799938661543e-05,-7.875600053949471e-05,-6.380068469456115e-05,0.002451244318453659,-0.0010127441366168327,0.00045045827508238524,0.0008400275553294792,-0.0011033632159961051,-0.002838239956859939,0.0,0.0,0.0,0.9772392015056407,0.006244659898567879,-0.0031395402595456954,-0.0030029010042913603,0.008941187034275792,0.014641758916283928,0.00876493199977182,0.005766108536831701,0.03398077391033045,-0.0013593085504345593,-0.002838239956859939,-0.001694058552376982,-0.003411615118347666,-0.01150729817074586,-0.004008366367911098,0.0,-0.0016941062057772443,-0.005690518546698268,0.006960177077486965,0.03447043932317837,-0.0014509776857892297,0.0,0.0,0.0,0.0,0.0,0.0,0.9841821573559221,0.9999999999999998,0.005757399352390547,0.0025851915073652515,-0.00502116310849198,0.0007019213605657385,0.9848413285554608,-0.01319908289554642,0.00010758996184006204,-3.173857056345019e-05,0.00033447334269478277,0.0001797925474219729,-0.00017634984482079206,-9.220895945145165e-06,-8.16184995977554e-05,-0.0006872939748570011
TotLen Bwd Pkts,-0.0091042630198688,-0.011332315006218726,0.00284205037456899,0.03175754540046313,0.9972958583571203,0.0025850702191362014,1.0,0.019171837131851287,-0.009537077801114829,-0.007211410507976432,0.002137887123033592,0.04413556473756423,-0.004279562899442145,0.14100696176460706,0.00987446216155491,0.0001639779553913243,-0.0039044916983840537,-0.0002883810665401729,1.2314325878679225e-05,0.000624722264384368,-6.584159826168213e-05,0.0024735132776616893,-0.00027361859422562416,6.0571161256936176e-05,0.0003744799225630847,-6.817062269073514e-05,0.05630673338582854,-0.001447097217829895,0.005583629750223598,0.042672095260876876,-0.0015144113149167852,0.018932806103931287,0.0,0.0,0.0,0.09233106758395854,0.9969865055930904,-0.0034494081500675163,-0.0031653320896130794,-0.010122182115731734,0.04186562101270155,0.17005570667511796,0.05601814769210385,0.040376173812904884,-0.001443920711918207,0.018932806103931287,0.0005590097652059922,0.013989536262131435,-0.0026245477079522885,-0.004310853649873932,0.0,0.0005589747867599153,0.08316838173843265,0.16147433486932875,-0.007211410507976432,0.14100696176460784,0.0,0.0,0.0,0.0,0.0,0.0,0.03175754540046313,0.0025850702191362014,0.9972958583571203,0.9999998439731599,-0.00013789720984764794,-0.004381653167550782,6.030747968651414e-05,0.006799209374831791,0.024965840792067394,0.014455136702627547,0.028533819773142493,0.023183991496897097,0.0013292112029438502,0.0002854435997243497,0.0006189193684518331,0.004928221342520232
Fwd Pkt Len Max,0.103993494951489,-0.2901278152806552,0.009222861242268888,-0.004193739553043177,0.03854922003221931,0.028065043222854497,0.019171837131851287,1.0,-0.2131685654736476,0.8707609699922847,0.9578737408236134,0.6841557664886171,-0.2654185855890773,0.4445107451267926,0.6643163431920978,-0.012704798214804332,-0.11827027808941525,-0.00801058348393274,0.00077833041896468,-0.0006366312042086946,-0.0020756561457108873,0.009104572316563154,-0.007072100877165833,0.0014116539159893448,-0.0005956880274003406,-0.0021293111710485504,0.25668461027811745,0.07056381533643187,0.18668445740854286,0.16745830646036716,-0.025968033554577708,-0.08778275704565575,0.0,0.0,0.0,0.0010209329825858744,0.04282900400894352,-0.10326955991341182,-0.09877703713731521,-0.23867215709364195,0.8119222259364873,0.5742875143909112,0.7467077348502257,0.29315909120245404,-0.04544459141258254,-0.08778275704565575,0.5056170243569548,0.6035631675063833,-0.3182343346424709,-0.12913450780291252,0.0,0.5056146533081305,-0.07167513623186138,0.5570458904536106,0.8707609699922847,0.44451074512679034,0.0,0.0,0.0,0.0,0.0,0.0,-0.004193739553043177,0.028065043222854497,0.03854922003221931,0.019172651521988868,0.2686997438237987,0.6429202291513594,-0.005472338996232803,0.257233746918938,-0.00035318240770921704,-0.00161310313221733,0.008346812791163696,0.002503310306345677,-0.0013449086111241013,-0.00013148682015263525,-0.0007962822015262227,-0.0047942503382597534
Fwd Pkt Len Min,-0.20532749022214924,0.7708461613001536,-0.009490028942308331,0.00976576588209314,-0.01493010556322543,0.010103512101100139,-0.009537077801114829,-0.2131685654736476,1.0,0.10412198815057962,-0.2884805621178595,-0.23929679428006972,0.715446822265826,-0.029961268415259826,-0.3076870397331399,0.026033196936979322,-0.07652041407833478,-0.005937742093183143,-0.0014046590852907946,-0.004012509038272017,-0.0012364184698765068,-0.00924196765253003,-0.006455098662864078,-0.001634631222788107,-0.0038909215438912882,-0.0012344547731898724,-0.1344881771902718,-0.07674243122474753,-0.11729278587703795,-0.11462877014231052,-0.02429433517407793,-0.0764924348223864,0.0,0.0,0.0,0.007200410194617251,-0.01793753058033642,-0.07193980806817075,-0.05169968925336435,0.9339089034297516,-0.2492290329110664,0.010406857645697978,-0.25109050838314817,-0.1028375818675384,-0.033087713932776125,-0.0764924348223864,-0.23157662614732175,-0.38955662045660316,-0.3075295034234305,-0.08838325082999118,0.0,-0.2315742000891628,0.22216944865407978,0.10328437346801593,0.10412198815057952,-0.029961268415260096,0.0,0.0,0.0,0.0,0.0,0.0,0.00976576588209314,0.010103512101100139,-0.01493010556322543,-0.009537450950811092,-0.26245565725497133,-0.205261053753338,0.010572811896727909,-0.6087008330656698,-0.024492242022862633,-0.025648233824937597,-0.030472321325722557,-0.016896897243840987,-0.007690870986683971,-0.0003742136246841929,-0.003406129486678487,-0.030392449261392725
Fwd Pkt Len Mean,0.04855943613550086,-0.05666903964716132,-0.00010144417974693031,-0.0025513814608507782,0.008783318656968856,0.034470439323178385,-0.007211410507976432,0.8707609699922847,0.10412198815057962,1.0,0.8743693618091923,0.539352329141405,-0.044551475409935724,0.38099574289019295,0.5282220038359934,0.014504988370469353,-0.14207946522168868,-0.010509964379691062,6.138937774069729e-05,-0.0025756379461089767,-0.0025620908695964885,-0.00015138420016245005,-0.010050044401550004,0.0005280810851713049,-0.0025148277002897067,-0.0025948666768018627,0.09014345199811975,0.028590691516236864,0.0986054730190595,0.08498989286095993,-0.010801825006439437,-0.05627587114739265,0.0,0.0,0.0,-0.00017600905413733353,0.010986099110853173,-0.12391431520301269,-0.11900651313971473,0.04940697656305956,0.6770118213535676,0.5579463777550421,0.6337401631701961,0.24622539671243937,-0.05788198384916581,-0.05627587114739265,0.4100782441003619,0.4770020871522659,-0.3999099529506009,-0.1619284963660204,0.0,0.41007732407845243,0.011462345434266542,0.5768291440235647,1.0,0.38099574289018884,0.0,0.0,0.0,0.0,0.0,0.0,-0.0025513814608507782,0.034470439323178385,0.008783318656968856,-0.007211665907522602,0.20338779891295783,0.5360077002732059,-0.0026151560061443316,0.06795970458016677,-0.010038740113776074,-0.016103343240059464,-0.008751530073894254,-0.003020047240070538,-0.005715465116601144,-0.00027415683887156966,-0.0026801050527232527,-0.0220991566021264
