Feature,KL_2018,JS_2018,Wasserstein_2018,KL_Lycos,JS_Lycos,Wasserstein_Lycos,Mean_JS_Drift
min_seg_size_forward,0.759631711791002,0.17276101717522432,7.32076,0.5899081197852125,0.14501840502158594,6.961239999999998,0.15888971109840513
Init_Win_bytes_backward,0.17519012895354127,0.052441094457954175,7352.971369999999,0.8874670859155743,0.24484169489358404,19036.385830000003,0.14864139467576912
SYN Flag Count,0.00014975686449981117,3.694248088156784e-05,0.003429999999999933,0.9912634190866255,0.2888573934557605,1.2525899999999999,0.14444716796832102
Init_Win_bytes_forward,0.6818694450440858,0.11204853908272891,4173.40235,0.9430718453371074,0.17326297603358162,7090.69764,0.14265575755815527
ECE Flag Count,0.20898774685797458,0.0700305005547092,0.18997999999999993,0.35413729138688643,0.11620720429212796,0.39108,0.09311885242341858
FIN Flag Count,0.021682140906307944,0.003839729966504371,0.020010000000000083,0.4937375252838663,0.14797746172802678,0.42904,0.07590859584726557
Bwd Packet Length Min,0.04625399450644067,0.009196980504712094,16.195550000000026,1.8792677297481168,0.1381356452453297,40.76958,0.0736663128750209
RST Flag Count,0.2090000793948549,0.07003451408281101,0.18999,0.18959452334167445,0.06370013623724961,0.17409999999999992,0.06686732516003031
Bwd Packet Length Max,1.3878313947713865,0.09173003886039464,524.6134499999998,0.9096395954369454,0.04104563400738067,1194.8446799999979,0.06638783643388765
Max Packet Length,1.3638577574765394,0.08007566872324608,613.0639199999998,1.0520262834519094,0.05006724308972232,1776.7530099999992,0.0650714559064842
Packet Length Std,1.1255103998546543,0.07929725207415027,194.2202602367227,0.7033427805337213,0.04399575596721976,446.3198952858446,0.061646504020685014
Bwd Packet Length Std,1.0180866696516289,0.07682811020060457,229.97749584190228,0.8481203795592928,0.042759865493216344,450.6532396822729,0.05979398784691045
CWE Flag Count,1.5886596786007063e-05,4.2429935581487775e-06,7.999999999996898e-05,0.3549079581088124,0.1165411139774981,0.3135,0.058272678485528126
Average Packet Size,0.4056936443026815,0.04905351752712885,101.70028224492296,,,,0.04905351752712885
Packet Length Mean,0.4035986250372577,0.06322884783510314,93.84539159577784,0.18683864238000503,0.031056558867611987,158.16247048515964,0.04714270335135756
Avg Bwd Segment Size,0.9533745608720572,0.04176538019291788,179.15608172549565,,,,0.04176538019291788
Bwd Packet Length Mean,0.9533745608720572,0.04176538019291788,179.15608172547564,0.7931844350459526,0.03252427628679936,244.91855113060285,0.037144828239858624
Avg Fwd Segment Size,0.18790700256952375,0.031653372398780855,35.46812346046456,,,,0.031653372398780855
Flow Packets/s,0.04867113411582339,0.011540109453092303,18489.6362841408,0.2671548704063778,0.036982351652560135,40779.51467787546,0.024261230552826217
Fwd Packet Length Max,0.2258206560694862,0.03301799805657246,151.21612999999968,0.124536668191317,0.011946228929653543,801.000990000002,0.022482113493113003
URG Flag Count,0.0335186322214645,0.007103131541730319,0.05928,2.0942998047539008,0.03527189104914683,0.09811999999999999,0.021187511295438576
Fwd Packet Length Mean,0.18790700256952375,0.031653372398780855,35.468123460464554,0.03002911857761641,0.006137241693564257,138.80103401968483,0.018895307046172555
Fwd IAT Total,0.08428242207137217,0.021852670279218053,1030118.1133599997,0.06489416328515676,0.015434710288455552,3646900.6245099995,0.018643690283836802
Fwd Packets/s,0.14614585703480035,0.015488252232070449,15003.211926881893,0.2039829420047977,0.01732380224002271,46453.22582462488,0.016406027236046578
