Std_Feature,CIC2017_Mean,CIC2018_Mean,Lycos_Mean,CIC2017_Std,CIC2018_Std,Lycos_Std,Shift_2018 (Z-score),Shift_Lycos (Z-score)
Packet Length Std,294.97555442549987,121.4681211429628,505.2015969312001,631.8000730314719,162.53015741780803,2198.9032904778737,0.2746239482116278,0.33274139740058917
Flow Duration,14785663.929521684,11813800.896990892,9798519.277154168,33653744.08585523,494012360.48691154,28956142.01698837,0.08830705507679283,0.14818989054065296
Packet Length Mean,171.94439024900288,77.62634159475525,204.63670591792132,305.49146113948734,103.7007982706994,700.8672050123241,0.30874200285343495,0.10701547754173188
Total Fwd Packets,9.361159949878884,23.533190931551967,26.608430789609844,749.6727924980048,1521.1368121348744,1624.173712657417,0.01890428855688786,0.023006397967567805
Total Backward Packets,10.393770116185044,6.312705835288154,7.742611129955239,997.388268905092,164.02563869552773,173.56198266590533,0.00409175079275744,0.0026581012052198784
ACK Flag Cnt,,0.3316020391373271,,,0.4707888490938818,,,
ACK Flag Count,0.3158442854049272,,,0.4648513193674708,,,,
Active Max,153182.52126950416,262392.03534171224,,1025824.9749109315,3319230.084439154,,0.10646018252833601,
Active Mean,81551.321012322,172877.58323445034,,648599.936773979,2505926.719059823,,0.14080522837384307,
Active Min,58295.8177443166,115465.65896787784,,577092.281910223,2114144.892164632,,0.09906533671414511,
Active Std,41134.11677514879,86440.96906878224,,393381.5153168317,1514575.348444906,,0.11517280433472155,
Average Packet Size,191.98365759294515,,,331.8603492541883,,,,
Avg Bwd Segment Size,305.9492813499384,,,605.2568001422048,,,,
Avg Fwd Segment Size,58.20193852812376,,,186.09115654962312,,,,
Bwd Avg Bulk Rate,0.0,,,0.0,,,,
Bwd Avg Bytes/Bulk,0.0,,,0.0,,,,
Bwd Avg Packets/Bulk,0.0,,,0.0,,,,
Bwd Blk Rate Avg,,0.0,,,0.0,,,
Bwd Byts/b Avg,,0.0,,,0.0,,,
Bwd Header Len,,133.093486744825,,,3265.496479885772,,,
Bwd Header Length,-2273.2753195892387,,,1452208.9395910755,,,,
Bwd IAT Max,4684692.427954428,2612946.8022174416,,17160950.058626805,10244256.505324522,,0.12072441319729342,
Bwd IAT Mean,1805783.7673780408,824199.8083988309,,8887197.079007307,4340497.413990648,,0.11044921703117531,
Bwd IAT Min,967261.37075743,291230.41701464733,,8308983.091314676,3825443.7563268174,,0.08136145498341664,
Bwd IAT Std,1485973.347339308,851174.0972359516,,6278468.565082394,3376930.180968773,,0.10110733907831784,
Bwd IAT Tot,,7597374.194926391,,,25862876.12130457,,,
Bwd IAT Total,9893830.350136695,,,28736614.19888721,,,,
Bwd PSH Flags,0.0,0.0,,0.0,0.0,,0.0,
Bwd Packet Length Max,870.849454719132,,,1946.3673768747035,,,,
Bwd Packet Length Mean,305.94928134992875,,,605.2568001421854,,,,
Bwd Packet Length Min,41.049579209416045,,,68.86260264724743,,,,
Bwd Packet Length Std,335.3257206074605,,,839.6932177113689,,,,
Bwd Packets/s,6995.191742603614,,,38151.69768319484,,,,
Bwd Pkt Len Max,,350.1495328357896,,,497.42337202957066,,,
Bwd Pkt Len Mean,,113.07591039107918,,,164.1056424128816,,,
Bwd Pkt Len Min,,26.478048435209807,,,50.97872930550147,,,
Bwd Pkt Len Std,,131.5657359000583,,,204.25916516316312,,,
Bwd Pkts/b Avg,,0.0,,,0.0,,,
Bwd Pkts/s,,15315.961868913031,,,92419.90220203252,,,
Bwd Seg Size Avg,,113.07591039107938,,,164.1056424128829,,,
Bwd URG Flags,0.0,0.0,,0.0,0.0,,0.0,
CWE Flag Count,0.0001112782050507,0.0001638027066318,,0.0105482634361338,0.012797495278148,,0.004974729215539758,
Destination Port,8071.482501237308,,,18283.63217237561,,,,
Down/Up Ratio,0.6835004096097739,0.4964362900799935,,0.6804919860804203,0.9967272637123392,,0.27489136454580976,
Dst Port,,9164.072933971367,,,18922.242533844088,,,
ECE Flag Cnt,,0.1873986128085338,,,0.3902311905869626,,,
ECE Flag Count,0.0002433989945395,,,0.0155993537504696,,,,
FIN Flag Cnt,,0.0047954335821914,,,0.0690828321144069,,,
FIN Flag Count,0.0353797571874239,,,0.1847377655624219,,,,
Flow Bytes/s,1491719.0643420685,,,25940155.669913016,,,,
Flow Byts/s,,257034.89325761463,,,3667840.990257705,,,
Flow IAT Max,9182475.317050682,6602696.9183182,,24459539.2508425,659510392.948946,,0.10547125897486267,
Flow IAT Mean,1298448.708665391,3335396.5878694654,,4507944.173794317,222948346.67996004,,0.4518573879066177,
Flow IAT Min,162379.56178430893,2321853.562383913,,2950281.7768057277,747621113.9753718,,0.7319551703737087,
Flow IAT Std,2919270.91875488,1275574.087285913,,8045869.77965458,338112790.9339661,,0.20429075742976915,
Flow Packets/s,70854.23306262742,,,254415.43789676312,,,,
Flow Pkts/s,,52296.98215171973,,,264725.0409225225,,,
Fwd Act Data Pkts,,19.89527838544126,,,1519.9166135256935,,,
Fwd Avg Bulk Rate,0.0,,,0.0,,,,
Fwd Avg Bytes/Bulk,0.0,,,0.0,,,,
Fwd Avg Packets/Bulk,0.0,,,0.0,,,,
Fwd Blk Rate Avg,,0.0,,,0.0,,,
Fwd Byts/b Avg,,0.0,,,0.0,,,
Fwd Header Len,,257.54076189388456,,,12263.519342617788,,,
Fwd Header Length,-25997.391975887604,,,21052857.873173933,,,,
Fwd Header Length.1,-25997.391975887604,,,21052857.873173933,,,,
Fwd IAT Max,9042938.558814418,6409624.945660007,,24529157.399698887,659508397.0232897,,0.10735442600998854,
Fwd IAT Mean,2610192.973542325,3661299.9694627193,,9525722.485326516,222960184.58154047,,0.11034407075562222,
Fwd IAT Min,1021892.905134447,2409648.8165875403,,8591436.338554349,747624130.9067401,,0.16152781173782066,
Fwd IAT Std,3266957.222050832,1402965.1043636715,,9639055.400348762,338119311.3428165,,0.19337912692334805,
Fwd IAT Tot,,11523129.572023138,,,494007138.423914,,,
Fwd IAT Total,14482961.734189222,,,33575811.64646707,,,,
Fwd PSH Flags,0.0464464629957576,0.0438954291898887,,0.2104500052666412,0.204862449149478,,0.012121228461611419,
Fwd Packet Length Max,207.59994107554093,,,717.1848417583044,,,,
Fwd Packet Length Mean,58.20193852812376,,,186.09115654962312,,,,
Fwd Packet Length Min,18.713656096650244,,,60.33934535101894,,,,
Fwd Packet Length Std,68.91013354422388,,,281.18709207898524,,,,
Fwd Packets/s,63865.34641143761,,,247537.12964203063,,,,
Fwd Pkt Len Max,,200.7620361261664,,,303.50913301167014,,,
Fwd Pkt Len Mean,,50.312736193542726,,,60.505607407105785,,,
Fwd Pkt Len Min,,11.075998480374135,,,24.22938337987837,,,
Fwd Pkt Len Std,,70.84147108488027,,,116.44072537700652,,,
Fwd Pkts/b Avg,,0.0,,,0.0,,,
Fwd Pkts/s,,36672.51436275811,,,213324.06677777824,,,
Fwd Seg Size Avg,,50.312736193542726,,,60.505607407105785,,,
Fwd Seg Size Min,,17.992667133741552,,,7.693845259675826,,,
Fwd URG Flags,0.0001112782050507,0.0001638027066318,,0.0105482634361338,0.012797495278148,,0.004974729215539758,
Idle Max,8695751.984585673,5428144.25033144,,24366888.32904313,625370409.8109206,,0.13410032869720992,
Idle Mean,8316036.627207768,5016958.068713881,,23630078.57795056,263317790.18114343,,0.13961352466982024,
Idle Min,7920031.014637146,4685630.661750614,,23363418.9274783,63652024.76857256,,0.13843865758367624,
Idle Std,503843.9497793038,286649.13679674844,,4602984.480672,169188705.6211339,,0.04718564963538065,
Init Bwd Win Byts,,8689.130913353174,,,20619.31142541913,,,
Init Fwd Win Byts,,8787.201893766276,,,16235.598826065252,,,
Init_Win_bytes_backward,1989.4329767838335,,,8456.883156982454,,,,
Init_Win_bytes_forward,6989.837446211119,,,14338.725836818838,,,,
Max Packet Length,950.4024445172168,,,2028.229146339656,,,,
Min Packet Length,16.43450465125234,,,25.237720797695665,,,,
PSH Flag Cnt,,0.3920842326619393,,,0.4882153232367876,,,
PSH Flag Count,0.2980705065772484,,,0.4574107056000805,,,,
Packet Length Variance,486154.79413840704,,,1647489.865309903,,,,
Pkt Len Max,,389.3460596763015,,,514.1580731837679,,,
Pkt Len Min,,10.942555333312018,,,22.6194085319952,,,
Pkt Len Var,,41170.53604730591,,,212977.2967573762,,,
Pkt Size Avg,,89.54039647239922,,,108.22330132261185,,,
Protocol,9.880340603156132,8.754113471599082,,5.261922185851875,4.920117157466727,,0.21403300000429792,
RST Flag Cnt,,0.1873979967772941,,,0.3902306971037452,,,
RST Flag Count,0.0002423392021105,,,0.015565364095025,,,,
SYN Flag Cnt,,0.0438954291898887,,,0.204862449149478,,,
