Feature,CIC2017,CIC2018,Lycos,Status
Source Port,Source Port,Missing,Missing,Missing in Both External
Destination Port,Destination Port,Dst Port,dst_port,Shared (Renamed/Derived)
Protocol,Protocol,Protocol,ip_prot,Shared (Renamed/Derived)
Flow Duration,Flow Duration,Flow Duration,flow_duration,Shared (Renamed/Derived)
Total Fwd Packets,Total Fwd Packets,Tot Fwd Pkts,fwd_pkt_cnt,Shared (Renamed/Derived)
Total Backward Packets,Total Backward Packets,Tot Bwd Pkts,bwd_pkt_cnt,Shared (Renamed/Derived)
Total Length of Fwd Packets,Total Length of Fwd Packets,TotLen Fwd Pkts,fwd_pkt_len_tot,Shared (Renamed/Derived)
Total Length of Bwd Packets,Total Length of Bwd Packets,TotLen Bwd Pkts,bwd_pkt_len_tot,Shared (Renamed/Derived)
Fwd Packet Length Max,Fwd Packet Length Max,Fwd Pkt Len Max,fwd_pkt_len_max,Shared (Renamed/Derived)
Fwd Packet Length Min,Fwd Packet Length Min,Fwd Pkt Len Min,fwd_pkt_len_min,Shared (Renamed/Derived)
Fwd Packet Length Mean,Fwd Packet Length Mean,Fwd Pkt Len Mean,fwd_pkt_len_mean,Shared (Renamed/Derived)
Fwd Packet Length Std,Fwd Packet Length Std,Fwd Pkt Len Std,fwd_pkt_len_std,Shared (Renamed/Derived)
Bwd Packet Length Max,Bwd Packet Length Max,Bwd Pkt Len Max,bwd_pkt_len_max,Shared (Renamed/Derived)
Bwd Packet Length Min,Bwd Packet Length Min,Bwd Pkt Len Min,bwd_pkt_len_min,Shared (Renamed/Derived)
Bwd Packet Length Mean,Bwd Packet Length Mean,Bwd Pkt Len Mean,bwd_pkt_len_mean,Shared (Renamed/Derived)
Bwd Packet Length Std,Bwd Packet Length Std,Bwd Pkt Len Std,bwd_pkt_len_std,Shared (Renamed/Derived)
Flow Bytes/s,Flow Bytes/s,Flow Byts/s,bytes_per_s,Shared (Renamed/Derived)
Flow Packets/s,Flow Packets/s,Flow Pkts/s,pkt_per_s,Shared (Renamed/Derived)
Flow IAT Mean,Flow IAT Mean,Flow IAT Mean,iat_mean,Shared (Renamed/Derived)
Flow IAT Std,Flow IAT Std,Flow IAT Std,iat_std,Shared (Renamed/Derived)
Flow IAT Max,Flow IAT Max,Flow IAT Max,iat_max,Shared (Renamed/Derived)
Flow IAT Min,Flow IAT Min,Flow IAT Min,iat_min,Shared (Renamed/Derived)
Fwd IAT Total,Fwd IAT Total,Fwd IAT Tot,fwd_iat_tot,Shared (Renamed/Derived)
Fwd IAT Mean,Fwd IAT Mean,Fwd IAT Mean,fwd_iat_mean,Shared (Renamed/Derived)
Fwd IAT Std,Fwd IAT Std,Fwd IAT Std,fwd_iat_std,Shared (Renamed/Derived)
Fwd IAT Max,Fwd IAT Max,Fwd IAT Max,fwd_iat_max,Shared (Renamed/Derived)
Fwd IAT Min,Fwd IAT Min,Fwd IAT Min,fwd_iat_min,Shared (Renamed/Derived)
Bwd IAT Total,Bwd IAT Total,Bwd IAT Tot,bwd_iat_tot,Shared (Renamed/Derived)
Bwd IAT Mean,Bwd IAT Mean,Bwd IAT Mean,bwd_iat_mean,Shared (Renamed/Derived)
Bwd IAT Std,Bwd IAT Std,Bwd IAT Std,bwd_iat_std,Shared (Renamed/Derived)
Bwd IAT Max,Bwd IAT Max,Bwd IAT Max,bwd_iat_max,Shared (Renamed/Derived)
Bwd IAT Min,Bwd IAT Min,Bwd IAT Min,bwd_iat_min,Shared (Renamed/Derived)
Fwd PSH Flags,Fwd PSH Flags,Fwd PSH Flags,fwd_flag_psh,Shared (Renamed/Derived)
Bwd PSH Flags,Bwd PSH Flags,Bwd PSH Flags,bwd_flag_psh,Shared (Renamed/Derived)
Fwd URG Flags,Fwd URG Flags,Fwd URG Flags,fwd_flag_urg,Shared (Renamed/Derived)
Bwd URG Flags,Bwd URG Flags,Bwd URG Flags,bwd_flag_urg,Shared (Renamed/Derived)
Fwd Header Length,Fwd Header Length,Fwd Header Len,fwd_pkt_hdr_len_tot,Shared (Renamed/Derived)
Bwd Header Length,Bwd Header Length,Bwd Header Len,bwd_pkt_hdr_len_tot,Shared (Renamed/Derived)
Fwd Packets/s,Fwd Packets/s,Fwd Pkts/s,fwd_pkt_per_s,Shared (Renamed/Derived)
Bwd Packets/s,Bwd Packets/s,Bwd Pkts/s,bwd_pkt_per_s,Shared (Renamed/Derived)
Min Packet Length,Min Packet Length,Pkt Len Min,pkt_len_min,Shared (Renamed/Derived)
Max Packet Length,Max Packet Length,Pkt Len Max,pkt_len_max,Shared (Renamed/Derived)
Packet Length Mean,Packet Length Mean,Pkt Len Mean,pkt_len_mean,Shared (Renamed/Derived)
Packet Length Std,Packet Length Std,Pkt Len Std,pkt_len_std,Shared (Renamed/Derived)
Packet Length Variance,Packet Length Variance,Pkt Len Var,pkt_len_var,Shared (Renamed/Derived)
FIN Flag Count,FIN Flag Count,FIN Flag Cnt,flag_fin,Shared (Renamed/Derived)
SYN Flag Count,SYN Flag Count,SYN Flag Cnt,flag_SYN,Shared (Renamed/Derived)
RST Flag Count,RST Flag Count,RST Flag Cnt,flag_rst,Shared (Renamed/Derived)
PSH Flag Count,PSH Flag Count,PSH Flag Cnt,flag_psh,Shared (Renamed/Derived)
ACK Flag Count,ACK Flag Count,ACK Flag Cnt,flag_ack,Shared (Renamed/Derived)
URG Flag Count,URG Flag Count,URG Flag Cnt,flag_urg,Shared (Renamed/Derived)
CWE Flag Count,CWE Flag Count,CWE Flag Count,flag_cwr,Shared (Renamed/Derived)
ECE Flag Count,ECE Flag Count,ECE Flag Cnt,flag_ece,Shared (Renamed/Derived)
Down/Up Ratio,Down/Up Ratio,Down/Up Ratio,down_up_ratio,Shared (Renamed/Derived)
Average Packet Size,Average Packet Size,Pkt Size Avg,pkt_len_mean (Derived),Shared (Renamed/Derived)
Avg Fwd Segment Size,Avg Fwd Segment Size,Fwd Seg Size Avg,fwd_pkt_len_mean (Derived),Shared (Renamed/Derived)
Avg Bwd Segment Size,Avg Bwd Segment Size,Bwd Seg Size Avg,bwd_pkt_len_mean (Derived),Shared (Renamed/Derived)
Fwd Header Length.1,Fwd Header Length.1,Fwd Header Len (Derived),fwd_pkt_hdr_len_tot (Derived),Shared (Renamed/Derived)
Fwd Avg Bytes/Bulk,Fwd Avg Bytes/Bulk,Fwd Byts/b Avg,fwd_bulk_bytes_mean,Shared (Renamed/Derived)
Fwd Avg Packets/Bulk,Fwd Avg Packets/Bulk,Fwd Pkts/b Avg,fwd_bulk_pkt_mean,Shared (Renamed/Derived)
Fwd Avg Bulk Rate,Fwd Avg Bulk Rate,Fwd Blk Rate Avg,fwd_bulk_rate_mean,Shared (Renamed/Derived)
Bwd Avg Bytes/Bulk,Bwd Avg Bytes/Bulk,Bwd Byts/b Avg,bwd_bulk_bytes_mean,Shared (Renamed/Derived)
Bwd Avg Packets/Bulk,Bwd Avg Packets/Bulk,Bwd Pkts/b Avg,bwd_bulk_pkt_mean,Shared (Renamed/Derived)
Bwd Avg Bulk Rate,Bwd Avg Bulk Rate,Bwd Blk Rate Avg,bwd_bulk_rate_mean,Shared (Renamed/Derived)
Subflow Fwd Packets,Subflow Fwd Packets,Subflow Fwd Pkts,fwd_subflow_pkt_mean,Shared (Renamed/Derived)
Subflow Fwd Bytes,Subflow Fwd Bytes,Subflow Fwd Byts,fwd_subflow_bytes_mean,Shared (Renamed/Derived)
Subflow Bwd Packets,Subflow Bwd Packets,Subflow Bwd Pkts,bwd_subflow_pkt_mean,Shared (Renamed/Derived)
Subflow Bwd Bytes,Subflow Bwd Bytes,Subflow Bwd Byts,bwd_subflow_bytes_mean,Shared (Renamed/Derived)
Init_Win_bytes_forward,Init_Win_bytes_forward,Init Fwd Win Byts,fwd_tcp_init_win_bytes,Shared (Renamed/Derived)
Init_Win_bytes_backward,Init_Win_bytes_backward,Init Bwd Win Byts,bwd_tcp_init_win_bytes,Shared (Renamed/Derived)
act_data_pkt_fwd,act_data_pkt_fwd,Fwd Act Data Pkts,fwd_non_empty_pkt_cnt,Shared (Renamed/Derived)
min_seg_size_forward,min_seg_size_forward,Fwd Seg Size Min,fwd_pkt_hdr_len_min,Shared (Renamed/Derived)
Active Mean,Active Mean,Active Mean,active_mean,Shared (Renamed/Derived)
Active Std,Active Std,Active Std,active_std,Shared (Renamed/Derived)
Active Max,Active Max,Active Max,active_max,Shared (Renamed/Derived)
Active Min,Active Min,Active Min,active_min,Shared (Renamed/Derived)
Idle Mean,Idle Mean,Idle Mean,idle_mean,Shared (Renamed/Derived)
Idle Std,Idle Std,Idle Std,idle_std,Shared (Renamed/Derived)
Idle Max,Idle Max,Idle Max,idle_max,Shared (Renamed/Derived)
Idle Min,Idle Min,Idle Min,idle_min,Shared (Renamed/Derived)
EXTRA: bwd_pkt_hdr_len_min,Missing,Missing,bwd_pkt_hdr_len_min,Extra in Lycos
EXTRA: bwd_non_empty_pkt_cnt,Missing,Missing,bwd_non_empty_pkt_cnt,Extra in Lycos
