Dataset,Feature,Actual Column,Status,Mean,Std,Top Values,Significant Drift / Leakage
CICIDS2017,Source Port,Source Port,Available,41128.85587282208,22294.933807584366,"443 (262863.0), 80 (114370.0), 123 (20133.0)",YES (High Distribution Variance)
CSE-CIC-IDS2018,Source Port,Missing,Missing in Dataset,,,N/A,YES (Missing Feature)
Lycos-Unicas-IDS2018,Source Port,Missing,Missing in Dataset,,,N/A,YES (Missing Feature)
CICIDS2017,Destination Port,Destination Port,Available,8071.482501237308,18283.628942899497,"53 (881426.0), 80 (598072.0), 443 (469877.0)",YES (High Distribution Variance)
CSE-CIC-IDS2018,Destination Port,Dst Port,Available,9164.072933971369,18922.24195100945,"53 (4071544.0), 80 (3475797.0), 443 (2027179.0)",YES (High Distribution Variance)
Lycos-Unicas-IDS2018,Destination Port,dst_port,Available,1048.7526352562816,3578.8633935942316,"80 (4093202.0), 53 (3802233.0), 3389 (2002547.0)",YES (High Distribution Variance)
CICIDS2017,Timestamp,Timestamp,Available,,,"7/7/2017 2:55 (46216.0), 7/7/2017 2:52 (44127.0), 7/7/2017 2:54 (36020.0)",YES (High Distribution Variance)
CSE-CIC-IDS2018,Timestamp,Timestamp,Available,,,"16/02/2018 01:45:28 (8403.0), 16/02/2018 01:45:29 (8205.0), 16/02/2018 01:45:30 (8056.0)",YES (High Distribution Variance)
Lycos-Unicas-IDS2018,Timestamp,Missing,Missing in Dataset,,,N/A,YES (Missing Feature)
CICIDS2017,Flow Bytes/s,Flow Bytes/s,Available,1491719.0643420683,25940155.669913016,"Min: -261000000.00, Max: 2071000000.00",MODERATE (Numerical Drift)
CSE-CIC-IDS2018,Flow Bytes/s,Flow Byts/s,Available,257034.89325761463,3667840.990257705,"Min: 0.00, Max: 1806642857.14",MODERATE (Numerical Drift)
Lycos-Unicas-IDS2018,Flow Bytes/s,bytes_per_s,Available,142278.30878530059,1836415.3667291426,"Min: 0.00, Max: 1564285714.29",MODERATE (Numerical Drift)
CICIDS2017,Flow Packets/s,Flow Packets/s,Available,70854.23306262742,254415.43789676312,"Min: -2000000.00, Max: 4000000.00",MODERATE (Numerical Drift)
CSE-CIC-IDS2018,Flow Packets/s,Flow Pkts/s,Available,52296.98215171973,264725.0409225225,"Min: -0.01, Max: 6000000.00",MODERATE (Numerical Drift)
Lycos-Unicas-IDS2018,Flow Packets/s,pkt_per_s,Available,24879.876164208028,180850.22740882714,"Min: 0.00, Max: 5000000.00",MODERATE (Numerical Drift)
