Feature,Orig_Mean,Median_Mean,Zero_Mean,Orig_Var,Median_Var_Ratio,Zero_Var_Ratio
Destination Port,6408.704885,6408.704885,6408.704885,273761340.26733345,1.0,1.0
Protocol,10.08056,10.08056,10.08056,28.313871655758277,1.0,1.0
Flow Duration,14994062.90753,14994062.90753,14994062.90753,1078578375658500.5,1.0,1.0
Total Fwd Packets,23.960985,23.960985,23.960985,3177946.112853394,1.0,1.0
Total Backward Packets,29.44125,29.44125,29.44125,5603233.756097218,1.0,1.0
Total Length of Fwd Packets,780.859935,780.859935,780.859935,133960557.53660446,1.0,1.0
Total Length of Bwd Packets,57528.43299,57528.43299,57528.43299,28482888290346.79,1.0,1.0
Fwd Packet Length Max,229.69083,229.69083,229.69083,604798.2002449124,1.0,1.0
Fwd Packet Length Min,21.206905,21.206905,21.206905,4679.526272952339,1.0,1.0
Fwd Packet Length Mean,65.8617437737836,65.8617437737836,65.8617437737836,39425.614985462074,1.0,1.0
Fwd Packet Length Std,75.68592176166335,75.68592176166335,75.68592176166335,89648.99158653183,1.0,1.0
Bwd Packet Length Max,1012.16437,1012.16437,1012.16437,4611651.451629761,1.0,1.0
Bwd Packet Length Min,42.877665,42.877665,42.877665,5279.077734536448,1.0,1.0
Bwd Packet Length Mean,352.9149377450943,352.9149377450943,352.9149377450943,441927.1028012824,1.0,1.0
Bwd Packet Length Std,405.2874783588247,405.2874783588247,405.2874783588247,950092.9475940035,1.0,1.0
Flow Bytes/s,1513398.7762242714,1437968.714105716,1437766.6723824635,714678645330932.1,0.9501760931897193,0.9501769050295755
Flow Packets/s,49590.77423421442,47094.96400005062,47092.638982165874,47495483804.46442,0.95209709872895,0.952101707201777
Flow IAT Mean,1359335.0227555805,1359335.0227555805,1359335.0227555805,18643747539509.605,1.0,1.0
Flow IAT Std,2696756.7858807226,2696756.7858807226,2696756.7858807226,55539730037951.68,1.0,1.0
Flow IAT Max,7379129.87594,7379129.87594,7379129.87594,331386666046660.1,1.0,1.0
Flow IAT Min,81792.551855,81792.551855,81792.551855,2907107448001.443,1.0,1.0
Fwd IAT Total,14524720.76856,14524720.76856,14524720.76856,1070388456246003.4,1.0,1.0
Fwd IAT Mean,2968765.9633126953,2968765.9633126953,2968765.9633126953,129975961438119.78,1.0,1.0
Fwd IAT Std,2055923.0757522979,2055923.0757522979,2055923.0757522979,33614907556886.125,1.0,1.0
Fwd IAT Max,7121078.28653,7121078.28653,7121078.28653,334249524907630.2,1.0,1.0
Fwd IAT Min,1839398.65096,1839398.65096,1839398.65096,124360548740960.95,1.0,1.0
Bwd IAT Total,12135918.767985,12135918.767985,12135918.767985,962956899531551.0,1.0,1.0
Bwd IAT Mean,2623125.723998018,2623125.723998018,2623125.723998018,131191928174564.3,1.0,1.0
Bwd IAT Std,1166479.969904008,1166479.969904008,1166479.969904008,17700569712410.797,1.0,1.0
Bwd IAT Max,4979781.518785,4979781.518785,4979781.518785,238406235103926.25,1.0,1.0
Bwd IAT Min,1859612.9855,1859612.9855,1859612.9855,126454672191118.7,1.0,1.0
Fwd PSH Flags,0.048985,0.048985,0.048985,0.046585702703513504,1.0,1.0
Fwd Header Length,-25472.192365,-25472.192365,-25472.192365,25192143696302.082,1.0,1.0
Bwd Header Length,-8179.833505,-8179.833505,-8179.833505,1022508967600.9143,1.0,1.0
Fwd Packets/s,45589.83871111049,45589.83871111049,45589.83871111049,44984291792.56997,1.0,1.0
Bwd Packets/s,3943.7233797466165,3943.7233797466165,3943.7233797466165,968550939.0109272,1.0,1.0
