Dataset,Attack_Family,Frequency,Total_Dataset_Freq,Percentage
CICIDS2017,BENIGN,2273097,2830696,80.30169965266492
CICIDS2017,BOT,1966,2830696,0.06945288367242544
CICIDS2017,BRUTE_FORCE,13835,2830696,0.4887490567690773
CICIDS2017,DOS_DDOS,380688,2830696,13.448565299841453
CICIDS2017,PROBING,158930,2830696,5.614520245197648
CICIDS2017,WEB_ATTACK,2180,2830696,0.07701286185446972
CSE-CIC-IDS2018,BENIGN,13484708,16071009,83.90704031091016
CSE-CIC-IDS2018,BOT,286191,16071009,1.7807904905037388
CSE-CIC-IDS2018,BRUTE_FORCE,380949,16071009,2.370411216868835
CSE-CIC-IDS2018,DOS_DDOS,1918233,16071009,11.935983608745412
CSE-CIC-IDS2018,WEB_ATTACK,928,16071009,0.005774372971852608
Lycos-Unicas-IDS2018,BENIGN,10000000,13691268,73.03925392447215
Lycos-Unicas-IDS2018,BOT,96154,13691268,0.7023016421853695
Lycos-Unicas-IDS2018,BRUTE_FORCE,282948,13691268,2.066631081942155
Lycos-Unicas-IDS2018,DOS_DDOS,3311740,13691268,24.188701879183142
Lycos-Unicas-IDS2018,WEB_ATTACK,426,13691268,0.0031114722171825134
