Feature,CIC2017,CIC2018,Lycos,Status,Notes
Destination Port,Destination Port,Dst Port,dst_port,TOPOLOGY_CANDIDATE,Temporarily retained for separate evaluation: Essential service indicator / flow rate metric with potential numerical drift.
Protocol,Protocol,Protocol,ip_prot,SELECTED,Standard robust flow characteristic.
Flow Duration,Flow Duration,Flow Duration,flow_duration,SELECTED,Standard robust flow characteristic.
Total Fwd Packets,Total Fwd Packets,Tot Fwd Pkts,fwd_pkt_cnt,SELECTED,Standard robust flow characteristic.
Total Backward Packets,Total Backward Packets,Tot Bwd Pkts,bwd_pkt_cnt,SELECTED,Standard robust flow characteristic.
Total Length of Fwd Packets,Total Length of Fwd Packets,TotLen Fwd Pkts,fwd_pkt_len_tot,SELECTED,Standard robust flow characteristic.
Total Length of Bwd Packets,Total Length of Bwd Packets,TotLen Bwd Pkts,bwd_pkt_len_tot,SELECTED,Standard robust flow characteristic.
Fwd Packet Length Max,Fwd Packet Length Max,Fwd Pkt Len Max,fwd_pkt_len_max,SELECTED,Standard robust flow characteristic.
Fwd Packet Length Min,Fwd Packet Length Min,Fwd Pkt Len Min,fwd_pkt_len_min,SELECTED,Standard robust flow characteristic.
Fwd Packet Length Mean,Fwd Packet Length Mean,Fwd Pkt Len Mean,fwd_pkt_len_mean,SELECTED,Standard robust flow characteristic.
Fwd Packet Length Std,Fwd Packet Length Std,Fwd Pkt Len Std,fwd_pkt_len_std,SELECTED,Standard robust flow characteristic.
Bwd Packet Length Max,Bwd Packet Length Max,Bwd Pkt Len Max,bwd_pkt_len_max,SELECTED,Standard robust flow characteristic.
Bwd Packet Length Min,Bwd Packet Length Min,Bwd Pkt Len Min,bwd_pkt_len_min,SELECTED,Standard robust flow characteristic.
Bwd Packet Length Mean,Bwd Packet Length Mean,Bwd Pkt Len Mean,bwd_pkt_len_mean,SELECTED,Standard robust flow characteristic.
Bwd Packet Length Std,Bwd Packet Length Std,Bwd Pkt Len Std,bwd_pkt_len_std,SELECTED,Standard robust flow characteristic.
Flow Bytes/s,Flow Bytes/s,Flow Byts/s,bytes_per_s,TOPOLOGY_CANDIDATE,Temporarily retained for separate evaluation: Essential service indicator / flow rate metric with potential numerical drift.
Flow Packets/s,Flow Packets/s,Flow Pkts/s,pkt_per_s,TOPOLOGY_CANDIDATE,Temporarily retained for separate evaluation: Essential service indicator / flow rate metric with potential numerical drift.
Flow IAT Mean,Flow IAT Mean,Flow IAT Mean,iat_mean,SELECTED,Standard robust flow characteristic.
Flow IAT Std,Flow IAT Std,Flow IAT Std,iat_std,SELECTED,Standard robust flow characteristic.
Flow IAT Max,Flow IAT Max,Flow IAT Max,iat_max,SELECTED,Standard robust flow characteristic.
Flow IAT Min,Flow IAT Min,Flow IAT Min,iat_min,SELECTED,Standard robust flow characteristic.
Fwd IAT Total,Fwd IAT Total,Fwd IAT Tot,fwd_iat_tot,SELECTED,Standard robust flow characteristic.
Fwd IAT Mean,Fwd IAT Mean,Fwd IAT Mean,fwd_iat_mean,SELECTED,Standard robust flow characteristic.
Fwd IAT Std,Fwd IAT Std,Fwd IAT Std,fwd_iat_std,SELECTED,Standard robust flow characteristic.
Fwd IAT Max,Fwd IAT Max,Fwd IAT Max,fwd_iat_max,SELECTED,Standard robust flow characteristic.
Fwd IAT Min,Fwd IAT Min,Fwd IAT Min,fwd_iat_min,SELECTED,Standard robust flow characteristic.
Bwd IAT Total,Bwd IAT Total,Bwd IAT Tot,bwd_iat_tot,SELECTED,Standard robust flow characteristic.
Bwd IAT Mean,Bwd IAT Mean,Bwd IAT Mean,bwd_iat_mean,SELECTED,Standard robust flow characteristic.
Bwd IAT Std,Bwd IAT Std,Bwd IAT Std,bwd_iat_std,SELECTED,Standard robust flow characteristic.
Bwd IAT Max,Bwd IAT Max,Bwd IAT Max,bwd_iat_max,SELECTED,Standard robust flow characteristic.
Bwd IAT Min,Bwd IAT Min,Bwd IAT Min,bwd_iat_min,SELECTED,Standard robust flow characteristic.
Fwd PSH Flags,Fwd PSH Flags,Fwd PSH Flags,fwd_flag_psh,SELECTED,Standard robust flow characteristic.
Bwd PSH Flags,Bwd PSH Flags,Bwd PSH Flags,bwd_flag_psh,SELECTED,Standard robust flow characteristic.
Fwd URG Flags,Fwd URG Flags,Fwd URG Flags,fwd_flag_urg,SELECTED,Standard robust flow characteristic.
Bwd URG Flags,Bwd URG Flags,Bwd URG Flags,bwd_flag_urg,SELECTED,Standard robust flow characteristic.
Fwd Header Length,Fwd Header Length,Fwd Header Len,fwd_pkt_hdr_len_tot,SELECTED,Standard robust flow characteristic.
Bwd Header Length,Bwd Header Length,Bwd Header Len,bwd_pkt_hdr_len_tot,SELECTED,Standard robust flow characteristic.
