Task_Type,Model,Accuracy,Precision,Recall,F1_Score,ROC_AUC,MCC
multiclass,Logistic Regression,0.98805,0.7924459976562601,0.716806685778952,0.7387324092719237,0.9982054486707037,0.965303403832528
multiclass,Random Forest,0.99795,0.938729084290196,0.9163562051953509,0.9269143351824204,0.9869906051401832,0.9940189181732286
multiclass,XGBoost,0.99835,0.9411388473222256,0.9320596139963602,0.9358444243197003,0.9996941894466812,0.9951932211499588
multiclass,LightGBM,0.8075,0.24256192059710316,0.27249552680121913,0.25157930221910546,0.5863169590780871,0.4292566808362214
multiclass,Extra Trees,0.99735,0.9350857469300502,0.9161318919878448,0.9249955488977036,0.9879978188889854,0.9922744327957036
binary,Logistic Regression,0.97865,0.9503090234857849,0.9444717444717444,0.9473813924830561,0.9954672083485643,0.9339966502052581
binary,Random Forest,0.99855,0.997537552327013,0.9953316953316953,0.9964334030254581,0.9998060309924717,0.9955243899453134
binary,XGBoost,0.99915,0.9996232339089482,0.9993094789704959,0.9994663318160414,0.9999692296302466,0.9973794583401647
binary,LightGBM,0.9991,0.9994977398292315,0.9993722536095417,0.9994349927804633,0.9999746279407298,0.9972242812249628
binary,Extra Trees,0.9978,0.9958128078817734,0.9933660933660934,0.9945879458794588,0.9995818391581104,0.9932085233240949
