Dataset,Task_Type,Model,Accuracy,Precision,Recall,F1_Score,ROC_AUC,MCC,Prediction_Time_sec,Samples_Evaluated
CIC2018,binary,Logistic Regression,0.8506677013354027,0.6931787903010924,0.12932170109114408,0.21797691614822262,0.8450741035173673,0.25482784588703167,0.1701812744140625,499999
CIC2018,binary,Random Forest,0.8405036810073621,0.9567430025445293,0.009345562100763056,0.018510313592280805,0.7934824589594899,0.0859326013482419,0.8710386753082275,499999
CIC2018,binary,Extra Trees,0.8422316844633689,0.9207446808510639,0.02151219148460219,0.042042114978262456,0.7626804229985998,0.12702774535903494,1.0144248008728027,499999
CIC2018,binary,XGBoost,0.8856757713515427,0.8804076482333354,0.9995208958532463,0.9361907334683298,0.7968541927245023,0.5042640215252187,0.5248103141784668,499999
CIC2018,binary,LightGBM,0.8671017342034684,0.8635738322068315,0.9995137450450858,0.9265843706876645,0.8975525289936024,0.3869232494588712,0.2833082675933838,499999
Lycos,binary,Logistic Regression,0.3474026948053896,0.2922709768400499,0.9993471955371913,0.45227016356457983,0.8385374419920656,0.1754173292307171,0.18291854858398438,499999
Lycos,binary,Random Forest,0.7308134616269233,0.8181818181818182,0.002002922783617575,0.003996063137797577,0.9420764656405384,0.031769351553615335,0.8292603492736816,499999
Lycos,binary,Extra Trees,0.7306014612029224,0.9642857142857143,0.0008011691134470301,0.0016010080421005818,0.8886202429192143,0.023432235361698545,0.7246444225311279,499999
Lycos,binary,XGBoost,0.768489536979074,0.7613978609558422,0.9947671935070482,0.862576796367198,0.9375220446457659,0.3191277051972316,0.5984394550323486,499999
Lycos,binary,LightGBM,0.758747517495035,0.7520654172472646,0.9990553018105346,0.858141799399761,0.9423987831273676,0.2789798015142221,0.32795166969299316,499999
