Dataset,Task_Type,Model,Accuracy,Precision,Recall,F1_Score,F1_Weighted,ROC_AUC,MCC,Prediction_Time_sec,Samples_Evaluated
CIC2018,multiclass,Logistic Regression,0.8562632607230631,0.3252625960038421,0.3136181790037938,0.284520459807834,0.7952507783794979,0.0,0.3305995340597524,0.2617619037628174,500067
CIC2018,multiclass,Random Forest,0.8400214371274249,0.3578772389735144,0.2018758104834125,0.1863328546473558,0.76815565680536,0.0,0.0744528710079957,1.22131085395813,500067
CIC2018,multiclass,Extra Trees,0.8404053856783191,0.3392512210626395,0.2028555743195083,0.1883765925181911,0.7694965365903301,0.0,0.0863152397449984,1.311408519744873,500067
CIC2018,multiclass,XGBoost,0.8556733397724705,0.4700423817468828,0.2523726043568137,0.277647443084763,0.8102920873905824,0.0,0.3330758104235528,0.6353414058685303,500067
CIC2018,multiclass,LightGBM,0.7551668076477752,0.2074659061532147,0.2447089865388069,0.217135084304128,0.7682146946715033,0.0,0.3003479722597768,1.6215016841888428,500067
Lycos,multiclass,Logistic Regression,0.0687805824233177,0.1750188982139298,0.1778373859957427,0.0360836618585535,0.0920636071542601,0.0,0.0086786286526598,0.2352313995361328,500083
Lycos,multiclass,Random Forest,0.730844679783156,0.3195491614650481,0.2005321168018294,0.1699921588819687,0.6179722675701866,0.0,0.0378668129008115,1.1990551948547363,500083
Lycos,multiclass,Extra Trees,0.7304687421887966,0.3441030609775219,0.2001648195053047,0.1691720146497461,0.6168998708185462,0.0,0.0231146720773803,1.7058711051940918,500083
Lycos,multiclass,XGBoost,0.7561264830038213,0.390560739334398,0.2461437746937635,0.2701476920532039,0.6999814957738837,0.0,0.2679371650211374,0.5799169540405273,500083
Lycos,multiclass,LightGBM,0.6458927817982215,0.1197801340682692,0.147734781977644,0.1315721757593888,0.5741731611096235,0.0,-0.1374021842730188,1.3852746486663818,500083
CIC2018,binary,Logistic Regression,0.8506677013354027,0.6931787903010924,0.129321701091144,0.2179769161482226,,0.8450741035173673,0.2548278458870316,0.1701812744140625,499999
CIC2018,binary,Random Forest,0.8405036810073621,0.9567430025445292,0.009345562100763,0.0185103135922808,,0.7934824589594899,0.0859326013482419,0.8710386753082275,499999
CIC2018,binary,Extra Trees,0.8422316844633689,0.920744680851064,0.0215121914846021,0.0420421149782624,,0.7626804229985998,0.1270277453590349,1.0144248008728027,499999
CIC2018,binary,XGBoost,0.8856757713515427,0.8804076482333354,0.9995208958532464,0.9361907334683298,,0.7968541927245023,0.5042640215252187,0.5248103141784668,499999
CIC2018,binary,LightGBM,0.8671017342034684,0.8635738322068315,0.9995137450450858,0.9265843706876644,,0.8975525289936024,0.3869232494588712,0.2833082675933838,499999
Lycos,binary,Logistic Regression,0.3474026948053896,0.2922709768400499,0.9993471955371912,0.4522701635645798,,0.8385374419920656,0.1754173292307171,0.1829185485839843,499999
Lycos,binary,Random Forest,0.7308134616269233,0.8181818181818182,0.0020029227836175,0.0039960631377975,,0.9420764656405384,0.0317693515536153,0.8292603492736816,499999
Lycos,binary,Extra Trees,0.7306014612029224,0.9642857142857144,0.000801169113447,0.0016010080421005,,0.8886202429192143,0.0234322353616985,0.7246444225311279,499999
Lycos,binary,XGBoost,0.768489536979074,0.7613978609558422,0.9947671935070482,0.862576796367198,,0.937522044645766,0.3191277051972316,0.5984394550323486,499999
Lycos,binary,LightGBM,0.758747517495035,0.7520654172472646,0.9990553018105346,0.858141799399761,,0.9423987831273676,0.2789798015142221,0.3279516696929931,499999
