Model,Task_Type,External_Dataset,Internal_F1,External_F1,F1_Drop_Pct,Internal_Accuracy,External_Accuracy,Accuracy_Drop_Pct,Internal_MCC,External_MCC,MCC_Drop,Internal_AUROC,External_AUROC,AUROC_Drop
Logistic Regression,multiclass,CIC2018,0.7387324092719237,0.284520459807834,61.4853150834075,0.98805,0.8562632607230631,13.338063789983995,0.965303403832528,0.3305995340597524,0.6347038697727756,0.9982054486707036,0.0,0.9982054486707036
Random Forest,multiclass,CIC2018,0.9269143351824204,0.1863328546473558,79.89751074346209,0.99795,0.8400214371274249,15.825298148461853,0.9940189181732286,0.0744528710079957,0.9195660471652329,0.9869906051401832,0.0,0.9869906051401832
Extra Trees,multiclass,CIC2018,0.9249955488977036,0.1883765925181911,79.63486497392606,0.99735,0.8404053856783191,15.736162262162814,0.9922744327957036,0.0863152397449984,0.9059591930507052,0.9879978188889854,0.0,0.9879978188889854
XGBoost,multiclass,CIC2018,0.9358444243197004,0.277647443084763,70.33188039918117,0.99835,0.8556733397724705,14.291246579609302,0.9951932211499588,0.3330758104235528,0.6621174107264061,0.9996941894466812,0.0,0.9996941894466812
LightGBM,multiclass,CIC2018,0.2515793022191054,0.217135084304128,13.69119701468098,0.8075,0.7551668076477752,6.480890693773967,0.4292566808362214,0.3003479722597768,0.12890870857644465,0.5863169590780871,0.0,0.5863169590780871
Logistic Regression,multiclass,Lycos,0.7387324092719237,0.0360836618585535,95.11546245898205,0.98805,0.0687805824233177,93.0387548784659,0.965303403832528,0.0086786286526598,0.9566247751798682,0.9982054486707036,0.0,0.9982054486707036
Random Forest,multiclass,Lycos,0.9269143351824204,0.1699921588819687,81.66042400795176,0.99795,0.730844679783156,26.76540109392695,0.9940189181732286,0.0378668129008115,0.9561521052724171,0.9869906051401832,0.0,0.9869906051401832
Extra Trees,multiclass,Lycos,0.9249955488977036,0.1691720146497461,81.71104554488457,0.99735,0.7304687421887966,26.75903722977925,0.9922744327957036,0.0231146720773803,0.9691597607183233,0.9879978188889854,0.0,0.9879978188889854
XGBoost,multiclass,Lycos,0.9358444243197004,0.2701476920532039,71.1332690527505,0.99835,0.7561264830038213,24.262384634264397,0.9951932211499588,0.2679371650211374,0.7272560561288214,0.9996941894466812,0.0,0.9996941894466812
LightGBM,multiclass,Lycos,0.2515793022191054,0.1315721757593888,47.701510180356586,0.8075,0.6458927817982215,20.01327779588588,0.4292566808362214,-0.1374021842730188,0.5666588651092402,0.5863169590780871,0.0,0.5863169590780871
Logistic Regression,binary,CIC2018,0.947381392483056,0.2179769161482226,76.99164054965107,0.97865,0.8506677013354027,13.077433062340704,0.933996650205258,0.2548278458870316,0.6791688043182265,0.9954672083485644,0.8450741035173673,0.15039310483119706
Random Forest,binary,CIC2018,0.996433403025458,0.0185103135922808,98.14234312739033,0.99855,0.8405036810073621,15.827581893008661,0.9955243899453134,0.0859326013482419,0.9095917885970716,0.9998060309924716,0.7934824589594899,0.20632357203298168
Extra Trees,binary,CIC2018,0.9945879458794588,0.0420421149782624,95.77291126919029,0.9978,0.8422316844633689,15.591132044160261,0.9932085233240948,0.1270277453590349,0.8661807779650599,0.9995818391581104,0.7626804229985998,0.23690141615951055
XGBoost,binary,CIC2018,0.9994663318160414,0.9361907334683298,6.3309384551992975,0.99915,0.8856757713515427,11.357076379768527,0.9973794583401648,0.5042640215252187,0.4931154368149462,0.9999692296302466,0.7968541927245023,0.20311503690574428
LightGBM,binary,CIC2018,0.9994349927804632,0.9265843706876644,7.289180648971056,0.9991,0.8671017342034684,13.211717125065721,0.9972242812249628,0.3869232494588712,0.6103010317660915,0.9999746279407298,0.8975525289936024,0.1024220989471274
Logistic Regression,binary,Lycos,0.947381392483056,0.4522701635645798,52.261025268905236,0.97865,0.3474026948053896,64.50184490825221,0.933996650205258,0.1754173292307171,0.758579320974541,0.9954672083485644,0.8385374419920656,0.1569297663564988
Random Forest,binary,Lycos,0.996433403025458,0.0039960631377975,99.5989633501181,0.99855,0.7308134616269233,26.812532008720318,0.9955243899453134,0.0317693515536153,0.9637550383916982,0.9998060309924716,0.9420764656405384,0.05772956535193319
Extra Trees,binary,Lycos,0.9945879458794588,0.0016010080421005,99.83902800665004,0.9978,0.7306014612029224,26.778767167476214,0.9932085233240948,0.0234322353616985,0.9697762879623963,0.9995818391581104,0.8886202429192143,0.11096159623889612
XGBoost,binary,Lycos,0.9994663318160414,0.862576796367198,13.696262804582283,0.99915,0.768489536979074,23.08566912084532,0.9973794583401648,0.3191277051972316,0.6782517531429333,0.9999692296302466,0.937522044645766,0.06244718498448054
LightGBM,binary,Lycos,0.9994349927804632,0.858141799399761,14.13730701860054,0.9991,0.758747517495035,24.05689946001051,0.9972242812249628,0.2789798015142221,0.7182444797107407,0.9999746279407298,0.9423987831273676,0.0575758448133622
