Dataset,Model,Family,Samples,Family_Accuracy,Attack_Detection_Rate,Correct_Family,Detected_As_Attack,Most_Common_Prediction
CIC2018,Logistic Regression,DOS_DDOS,59679,0.002597228505839575,0.0760569044387473,155,4539,BENIGN
CIC2018,Logistic Regression,BRUTE_FORCE,11852,0.8838170772865339,0.8838170772865339,10475,10475,BRUTE_FORCE
CIC2018,Logistic Regression,WEB_ATTACK,100,0.0,0.0,0,0,BENIGN
CIC2018,Logistic Regression,BOT,8903,0.0,0.0007862518252274514,0,7,BENIGN
CIC2018,Random Forest,DOS_DDOS,59679,0.009450560498667873,0.009450560498667873,564,564,BENIGN
CIC2018,Random Forest,BRUTE_FORCE,11852,0.0,0.0,0,0,BENIGN
CIC2018,Random Forest,WEB_ATTACK,100,0.0,0.0,0,0,BENIGN
CIC2018,Random Forest,BOT,8903,0.0,0.0,0,0,BENIGN
CIC2018,Extra Trees,DOS_DDOS,59679,0.014628261197406123,0.014628261197406123,873,873,BENIGN
CIC2018,Extra Trees,BRUTE_FORCE,11852,0.0,0.0,0,0,BENIGN
CIC2018,Extra Trees,WEB_ATTACK,100,0.0,0.0,0,0,BENIGN
CIC2018,Extra Trees,BOT,8903,0.0,0.0,0,0,BENIGN
CIC2018,XGBoost,DOS_DDOS,59679,0.06536637678245279,0.1348212939224853,3901,8046,BENIGN
CIC2018,XGBoost,BRUTE_FORCE,11852,0.4509787377657779,0.9625379682753965,5345,11408,PROBING
CIC2018,XGBoost,WEB_ATTACK,100,0.0,0.0,0,0,BENIGN
CIC2018,XGBoost,BOT,8903,0.0,0.0,0,0,BENIGN
CIC2018,LightGBM,DOS_DDOS,59679,0.6623435379279143,0.662728933125555,39528,39551,DOS_DDOS
CIC2018,LightGBM,BRUTE_FORCE,11852,0.0,0.0,0,0,BENIGN
CIC2018,LightGBM,WEB_ATTACK,100,0.0,0.35,0,35,BENIGN
CIC2018,LightGBM,BOT,8903,0.0,0.4971357969223857,0,4426,BENIGN
Lycos,Logistic Regression,DOS_DDOS,120943,0.0016950133533978817,0.999379873163391,205,120868,BRUTE_FORCE
Lycos,Logistic Regression,BRUTE_FORCE,10333,1.0,1.0,10333,10333,BRUTE_FORCE
Lycos,Logistic Regression,WEB_ATTACK,100,0.0,0.98,0,98,BRUTE_FORCE
Lycos,Logistic Regression,BOT,3511,0.0,0.9988607234406152,0,3507,BRUTE_FORCE
Lycos,Random Forest,DOS_DDOS,120943,0.0028029733014725946,0.0028029733014725946,339,339,BENIGN
Lycos,Random Forest,BRUTE_FORCE,10333,0.0,0.0,0,0,BENIGN
Lycos,Random Forest,WEB_ATTACK,100,0.0,0.0,0,0,BENIGN
Lycos,Random Forest,BOT,3511,0.0,0.0,0,0,BENIGN
Lycos,Extra Trees,DOS_DDOS,120943,0.0008268357821453081,0.0008268357821453081,100,100,BENIGN
Lycos,Extra Trees,BRUTE_FORCE,10333,0.0,0.0,0,0,BENIGN
Lycos,Extra Trees,WEB_ATTACK,100,0.0,0.0,0,0,BENIGN
Lycos,Extra Trees,BOT,3511,0.0,0.0,0,0,BENIGN
Lycos,XGBoost,DOS_DDOS,120943,0.17623177860645098,0.17623177860645098,21314,21314,BENIGN
Lycos,XGBoost,BRUTE_FORCE,10333,0.3330107422820091,0.3330107422820091,3441,3441,BENIGN
Lycos,XGBoost,WEB_ATTACK,100,0.0,0.7,0,70,DOS_DDOS
Lycos,XGBoost,BOT,3511,0.0,0.0,0,0,BENIGN
Lycos,LightGBM,DOS_DDOS,120943,0.0029187303109729375,0.0029187303109729375,353,353,BENIGN
Lycos,LightGBM,BRUTE_FORCE,10333,0.0,0.0,0,0,BENIGN
Lycos,LightGBM,WEB_ATTACK,100,0.0,0.0,0,0,BENIGN
Lycos,LightGBM,BOT,3511,0.0,0.0,0,0,BENIGN
