Dataset,Feature,KS_Statistic,KS_PValue,PSI,Drift_Severity,Mean_Diff,Std_Diff,Train_Mean,Ext_Mean,Train_Std,Ext_Std
CIC2018,ACK Flag Count,0.014660000000000006,4.263544875902896e-05,0.0,LOW,0.014660001,0.0055207014,0.31648,0.33114,0.46510258,0.47062328
CIC2018,Active Max,0.09708000000000006,1.559190930758743e-205,0.0034588984056011713,LOW,104976.59,2.2940832e+06,156610.39,261586.98,981687.25,3.2757705e+06
CIC2018,Active Mean,0.09708000000000006,1.559190930758743e-205,0.005192505779122491,LOW,91373.9,1.9341942e+06,83072.445,174446.34,591419.06,2.5256132e+06
CIC2018,Active Min,0.09708000000000006,1.559190930758743e-205,0.008306707025835034,LOW,61742.38,1.6456956e+06,58844.855,120587.234,521733.62,2.1674292e+06
CIC2018,Active Std,0.0040200000000000236,0.812340722703403,0.0,LOW,39861.85,1.060526e+06,41793.984,81655.836,363721.8,1.4242478e+06
CIC2018,Average Packet Size,0.18103999999999998,0.0,0.712565789896477,HIGH,103.436554,228.58089,193.0016,89.56505,335.95206,107.37117
CIC2018,Avg Bwd Segment Size,0.1302399999999999,0.0,0.8905207301391902,HIGH,193.88724,447.02606,306.8632,112.97596,609.05994,162.03387
CIC2018,Avg Fwd Segment Size,0.15014,0.0,0.6641854216036324,HIGH,7.7482147,126.92142,58.14648,50.398266,187.31303,60.391617
CIC2018,Bwd Avg Bulk Rate,0.0,1.0,0.0,LOW,0.0,0.0,0.0,0.0,0.0,0.0
CIC2018,Bwd Avg Bytes/Bulk,0.0,1.0,0.0,LOW,0.0,0.0,0.0,0.0,0.0,0.0
CIC2018,Bwd Avg Packets/Bulk,0.0,1.0,0.0,LOW,0.0,0.0,0.0,0.0,0.0,0.0
CIC2018,Bwd Header Length,0.34204,0.0,0.8012808376242566,HIGH,21244.303,4.7954825e+06,-21097.781,146.5212,4.801991e+06,6508.513
CIC2018,Bwd IAT Max,0.13125999999999993,0.0,1.9219273922331706,HIGH,2.0212245e+06,6.925938e+06,4.639531e+06,2.6183065e+06,1.7183776e+07,1.0257838e+07
CIC2018,Bwd IAT Mean,0.13125999999999993,0.0,1.9475511997106292,HIGH,1.0467297e+06,5.012983e+06,1.8495781e+06,802848.44,9.198937e+06,4.185954e+06
CIC2018,Bwd IAT Min,0.16896,0.0,1.0917932197582216,HIGH,753615.9,4.9479915e+06,1.0199604e+06,266344.53,8.624823e+06,3.6768315e+06
CIC2018,Bwd IAT Std,0.07602000000000009,4.2478917429007845e-126,0.02783206094974604,LOW,595560.06,2.8659445e+06,1.454373e+06,858812.94,6.2476365e+06,3.381692e+06
CIC2018,Bwd IAT Total,0.13125999999999993,0.0,1.8877747783493841,HIGH,2.1162595e+06,2.586542e+06,9.762157e+06,7.6458975e+06,2.8589832e+07,2.600329e+07
CIC2018,Bwd PSH Flags,0.0,1.0,0.0,LOW,0.0,0.0,0.0,0.0,0.0,0.0
CIC2018,Bwd Packet Length Max,0.15134000000000003,0.0,2.793749949333744,HIGH,519.3512,1457.2292,870.8868,351.5356,1953.369,496.1398
CIC2018,Bwd Packet Length Mean,0.1302399999999999,0.0,0.8905207301391902,HIGH,193.88724,447.02606,306.8632,112.97596,609.05994,162.03387
CIC2018,Bwd Packet Length Min,0.23378,0.0,0.3419992202942589,HIGH,14.823938,20.12925,41.19206,26.36812,71.01089,50.881638
CIC2018,Bwd Packet Length Std,0.13649999999999995,0.0,0.862470977270694,HIGH,203.65797,641.1076,336.0411,132.38313,845.1054,203.9978
CIC2018,Bwd Packets/s,0.1875,0.0,0.6281770916024703,HIGH,7993.2275,54028.266,7198.414,15191.642,40079.008,94107.27
CIC2018,Bwd URG Flags,0.0,1.0,0.0,LOW,0.0,0.0,0.0,0.0,0.0,0.0
CIC2018,CWE Flag Count,4.0000000000040004e-05,1.0,0.0,LOW,4e-05,0.0020098798,0.00012,8e-05,0.010953793,0.0089439135
