Dataset,Label,Train_Proportion,External_Proportion,Proportion_Diff
CIC2018,BENIGN,0.79612,0.84122,0.04509999999999992
CIC2018,BOT,0.00076,0.01786,0.0171
CIC2018,BRUTE_FORCE,0.0055,0.02336,0.01786
CIC2018,DOS_DDOS,0.13962,0.11744,0.02217999999999999
CIC2018,OTHER,0.0,2e-05,2e-05
CIC2018,PROBING,0.05708,0.0,0.05708
CIC2018,WEB_ATTACK,0.00092,0.0001,0.00082
CIC2018,__JSD_SUMMARY__,0.028608379221140512,0.028608379221140512,0.028608379221140512
Lycos,BENIGN,0.79612,0.73026,0.06586000000000003
Lycos,BOT,0.00076,0.00642,0.00566
Lycos,BRUTE_FORCE,0.0055,0.02048,0.014980000000000002
Lycos,DOS_DDOS,0.13962,0.24284,0.10322
Lycos,PROBING,0.05708,0.0,0.05708
Lycos,WEB_ATTACK,0.00092,0.0,0.00092
Lycos,__JSD_SUMMARY__,0.031437791075164284,0.031437791075164284,0.031437791075164284
