Model,Task_Type,Avg_F1,Avg_MCC,Avg_AUROC,Robustness_Score
XGBoost,binary,0.8993837649177638,0.4116958633612251,0.8671881186851342,0.7466382652042763
LightGBM,binary,0.8923630850437128,0.3329515254865466,0.919975656060485,0.7300621313799174
Logistic Regression,binary,0.3351235398564012,0.21512258755887437,0.8418057727547165,0.4004597007468062
Extra Trees,binary,0.02182156151018145,0.0752299903603667,0.8256503329589071,0.19860984445498214
Random Forest,binary,0.01125318836503915,0.0588509764509286,0.8677794623000141,0.196837779577801
XGBoost,multiclass,0.2738975675689834,0.3005064877223451,0.0,0.22710073010119525
Logistic Regression,multiclass,0.16030206083319376,0.1696390813562061,0.0,0.1310427548234587
LightGBM,multiclass,0.1743536300317584,0.08147289399337898,0.0,0.1116186832138929
Random Forest,multiclass,0.17816250676466225,0.0561598419544036,0.0,0.1059292059686522
Extra Trees,multiclass,0.17877430358396862,0.05471495591118935,0.0,0.10580163856534111
